frequency,V(BPF) (Phase),V(BPF) (Verstärkung),
10,-93.6164,-24.0189,
10.2329,-93.7008,-23.8181,
10.4713,-93.7872,-23.6173,
10.7152,-93.8757,-23.4164,
10.9648,-93.9663,-23.2155,
11.2202,-94.059,-23.0145,
11.4815,-94.1539,-22.8135,
11.749,-94.2511,-22.6125,
12.0226,-94.3506,-22.4113,
12.3027,-94.4525,-22.2102,
12.5893,-94.5569,-22.009,
12.8825,-94.6637,-21.8077,
13.1826,-94.7731,-21.6064,
13.4896,-94.8851,-21.405,
13.8038,-94.9998,-21.2035,
14.1254,-95.1172,-21.002,
14.4544,-95.2375,-20.8004,
14.7911,-95.3607,-20.5987,
15.1356,-95.4869,-20.397,
15.4882,-95.6161,-20.1951,
15.8489,-95.7484,-19.9932,
16.2181,-95.8839,-19.7912,
16.5959,-96.0228,-19.5891,
16.9824,-96.165,-19.3869,
17.378,-96.3107,-19.1846,
17.7828,-96.4599,-18.9822,
18.197,-96.6128,-18.7797,
18.6209,-96.7694,-18.577,
19.0546,-96.9299,-18.3743,
19.4984,-97.0944,-18.1714,
19.9526,-97.2629,-17.9683,
20.4174,-97.4356,-17.7652,
20.893,-97.6126,-17.5619,
21.3796,-97.794,-17.3584,
21.8776,-97.9799,-17.1548,
22.3872,-98.1705,-16.951,
22.9087,-98.3658,-16.747,
23.4423,-98.5661,-16.5429,
23.9883,-98.7715,-16.3385,
24.5471,-98.9821,-16.134,
25.1189,-99.198,-15.9293,
25.704,-99.4195,-15.7243,
26.3027,-99.6467,-15.5191,
26.9153,-99.8797,-15.3137,
27.5423,-100.119,-15.108,
28.1838,-100.364,-14.9021,
28.8403,-100.616,-14.6959,
29.5121,-100.874,-14.4894,
30.1995,-101.139,-14.2826,
30.903,-101.412,-14.0756,
31.6228,-101.691,-13.8682,
32.3594,-101.978,-13.6604,
33.1131,-102.273,-13.4524,
33.8844,-102.576,-13.2439,
34.6737,-102.887,-13.0351,
35.4813,-103.206,-12.8259,
36.3078,-103.535,-12.6163,
37.1535,-103.873,-12.4063,
38.0189,-104.22,-12.1959,
38.9045,-104.577,-11.9849,
39.8107,-104.944,-11.7735,
40.738,-105.322,-11.5617,
41.6869,-105.711,-11.3493,
42.658,-106.111,-11.1364,
43.6516,-106.523,-10.9229,
44.6684,-106.947,-10.7089,
45.7088,-107.385,-10.4943,
46.7735,-107.835,-10.2791,
47.863,-108.299,-10.0632,
48.9779,-108.778,-9.84678,
50.1187,-109.272,-9.62965,
51.2861,-109.781,-9.41185,
52.4807,-110.307,-9.19336,
53.7032,-110.85,-8.97415,
54.9541,-111.41,-8.75423,
56.2341,-111.989,-8.53357,
57.544,-112.588,-8.31215,
58.8844,-113.207,-8.08999,
