frequency,V(BSF) (Phase),V(BSF) (Verstärkung),
10,176.39,-0.0174956,
10.2329,176.305,-0.0183137,
10.4713,176.219,-0.0191709,
10.7152,176.13,-0.0200691,
10.9648,176.039,-0.0210101,
11.2202,175.946,-0.0219962,
11.4815,175.851,-0.0230294,
11.749,175.754,-0.0241121,
12.0226,175.654,-0.0252467,
12.3027,175.552,-0.0264357,
12.5893,175.448,-0.0276817,
12.8825,175.341,-0.0289876,
13.1826,175.231,-0.0303563,
13.4896,175.119,-0.0317908,
13.8038,175.005,-0.0332945,
14.1254,174.887,-0.0348706,
14.4544,174.767,-0.0365228,
14.7911,174.643,-0.0382549,
15.1356,174.517,-0.0400707,
15.4882,174.388,-0.0419745,
15.8489,174.255,-0.0439706,
16.2181,174.12,-0.0460636,
16.5959,173.981,-0.0482584,
16.9824,173.838,-0.0505601,
17.378,173.693,-0.052974,
17.7828,173.543,-0.0555058,
18.197,173.39,-0.0581616,
18.6209,173.234,-0.0609475,
19.0546,173.073,-0.0638701,
19.4984,172.908,-0.0669366,
19.9526,172.74,-0.0701542,
20.4174,172.567,-0.0735308,
20.893,172.39,-0.0770744,
21.3796,172.209,-0.0807939,
21.8776,172.023,-0.0846983,
22.3872,171.832,-0.0887974,
22.9087,171.636,-0.0931013,
23.4423,171.436,-0.0976209,
23.9883,171.231,-0.102368,
24.5471,171.02,-0.107353,
25.1189,170.804,-0.112591,
25.704,170.582,-0.118095,
26.3027,170.355,-0.123878,
26.9153,170.122,-0.129957,
27.5423,169.883,-0.136347,
28.1838,169.638,-0.143066,
28.8403,169.386,-0.150132,
29.5121,169.127,-0.157564,
30.1995,168.862,-0.165383,
30.903,168.59,-0.17361,
31.6228,168.31,-0.18227,
32.3594,168.023,-0.191387,
33.1131,167.728,-0.200988,
33.8844,167.425,-0.2111,
34.6737,167.114,-0.221754,
35.4813,166.795,-0.232983,
36.3078,166.466,-0.244821,
37.1535,166.128,-0.257304,
38.0189,165.781,-0.270473,
38.9045,165.424,-0.284369,
39.8107,165.056,-0.299039,
40.738,164.679,-0.31453,
41.6869,164.29,-0.330896,
42.658,163.889,-0.348193,
43.6516,163.477,-0.366481,
44.6684,163.053,-0.385825,
45.7088,162.615,-0.406298,
