Frequency [Hz], Amplitude [dB], Phase [deg]
10, -0.113154, 176.27298
10.476157527896646, -0.112581, 176.084244
10.974987654930562, -0.114442, 175.932571
11.497569953977356, -0.119359, 175.719116
12.045035402587823, -0.117282, 175.543137
12.618568830660204, -0.122055, 175.309418
13.219411484660288, -0.127997, 175.06189
13.848863713938732, -0.131071, 174.828842
14.508287784959395, -0.13427, 174.570145
15.199110829529339, -0.140683, 174.311935
15.922827933410922, -0.141975, 174.043198
16.68100537200059, -0.143442, 173.766235
17.47528400007684, -0.150005, 173.476624
18.30738280295368, -0.153033, 173.135864
19.179102616724887, -0.165658, 172.820419
20.09233002565047, -0.16925, 172.487396
21.049041445120206, -0.176602, 172.098541
22.051307399030456, -0.183493, 171.707611
23.101297000831604, -0.193411, 171.309494
24.20128264794382, -0.206321, 170.88501
25.353644939701113, -0.216905, 170.437103
26.560877829466868, -0.229837, 169.953629
27.825594022071243, -0.244687, 169.468903
29.150530628251772, -0.259547, 168.957886
30.538555088334157, -0.278881, 168.406479
31.992671377973846, -0.295155, 167.830276
33.516026509388425, -0.317025, 167.221024
35.11191734215131, -0.338882, 166.557953
36.783797718286344, -0.36773, 165.881607
38.53528593710529, -0.397521, 165.163208
40.37017258596554, -0.429361, 164.380905
42.29242874389499, -0.46899, 163.583603
44.30621457583882, -0.505041, 162.701584
46.4158883361278, -0.549384, 161.792099
48.62601580065353, -0.598491, 160.809662
50.9413801481638, -0.656648, 159.752121
53.3669923120631, -0.721095, 158.740463
55.90810182512222, -0.790628, 157.555115
58.570208180566674, -0.874004, 156.26239
61.35907273413176, -0.971141, 154.906799
64.28073117284322, -1.079584, 153.438126
67.34150657750821, -1.197011, 151.887054
70.54802310718645, -1.342013, 150.208618
73.90722033525779, -1.508656, 148.379379
77.4263682681127, -1.704615, 146.422729
81.11308307896873, -1.924541, 144.329193
84.97534359086447, -2.189626, 142.041031
89.02150854450389, -2.502482, 139.545944
93.26033468832199, -2.868917, 136.907959
97.70099572992257, -3.310519, 134.06778
102.35310218990269, -3.833576, 130.849197
107.22672220103232, -4.484933, 127.45282
112.33240329780277, -5.288147, 123.743851
117.68119524349991, -6.281019, 119.749519
123.28467394420659, -7.55292, 115.495346
129.1549665014884, -9.192782, 111.026604
135.30477745798075, -11.434244, 106.339668
141.74741629268047, -14.800655, 101.597389
148.4968262254465, -20.531322, 97.367271
155.56761439304722, -45.138058, 122.872696
162.97508346206433, -21.366728, -97.246422
170.7352647470692, -15.183878, -101.330437
178.8649529057435, -11.778458, -105.948608
187.3817422860385, -9.411085, -110.658012
196.30406500402725, -7.725382, -115.037979
205.65123083486515, -6.396692, -119.311409
215.44346900318845, -5.381567, -123.301071
225.70197196339214, -4.563337, -127.000511
236.4489412645407, -3.90488, -130.446793
247.70763559917114, -3.367113, -133.629196
259.5024211399737, -2.913431, -136.51181
271.85882427329403, -2.540876, -139.219818
284.8035868435802, -2.221879, -141.744583
298.364724028334, -1.959316, -144.0224
312.5715849688235, -1.729528, -146.126877
327.4549162877732, -1.529942, -148.115982
343.04692863149194, -1.367898, -149.928024
359.38136638046257, -1.223795, -151.594498
376.49358067924715, -1.095303, -153.164673
394.4206059437656, -0.992971, -154.651199
413.20124001153386, -0.890169, -155.959442
432.87612810830615, -0.803935, -157.250061
453.4878508128582, -0.732939, -158.421402
475.0810162102798, -0.663931, -159.523041
497.7023564332114, -0.612755, -160.574219
521.4008287999684, -0.554327, -161.517944
546.2277217684342, -0.513011, -162.460144
572.236765935022, -0.467723, -163.312637
599.4842503189409, -0.432976, -164.142212
628.029144183426, -0.400668, -164.916534
657.9332246575682, -0.369434, -165.615295
689.2612104349695, -0.347077, -166.30983
722.0809018385471, -0.320136, -166.948914
756.463327554629, -0.299541, -167.536774
792.4828983539178, -0.27987, -168.135345
830.2175681319752, -0.26036, -168.679337
869.7490026177834, -0.244832, -169.175415
911.1627561154896, -0.232173, -169.66684
954.5484566618347, -0.218611, -170.144653
1000, -0.204668, -170.577454
