frequency,V(HPF) (Phase),V(HPF) (Verstärkung),
10,176.377,-48.0548,
10.2329,176.293,-47.6539,
10.4713,176.207,-47.2531,
10.7152,176.119,-46.8522,
10.9648,176.028,-46.4513,
11.2202,175.936,-46.0503,
11.4815,175.841,-45.6493,
11.749,175.744,-45.2483,
12.0226,175.644,-44.8472,
12.3027,175.543,-44.446,
12.5893,175.438,-44.0448,
12.8825,175.332,-43.6435,
13.1826,175.222,-43.2422,
13.4896,175.111,-42.8408,
13.8038,174.996,-42.4393,
14.1254,174.879,-42.0378,
14.4544,174.758,-41.6362,
14.7911,174.635,-41.2345,
15.1356,174.509,-40.8328,
15.4882,174.38,-40.4309,
15.8489,174.248,-40.029,
16.2181,174.113,-39.627,
16.5959,173.974,-39.2249,
16.9824,173.832,-38.8227,
17.378,173.686,-38.4204,
17.7828,173.537,-38.018,
18.197,173.384,-37.6155,
18.6209,173.228,-37.2128,
19.0546,173.067,-36.8101,
19.4984,172.903,-36.4072,
19.9526,172.734,-36.0042,
20.4174,172.562,-35.601,
20.893,172.385,-35.1977,
21.3796,172.204,-34.7942,
21.8776,172.018,-34.3906,
22.3872,171.827,-33.9868,
22.9087,171.632,-33.5828,
23.4423,171.432,-33.1787,
23.9883,171.226,-32.7744,
24.5471,171.016,-32.3698,
25.1189,170.8,-31.9651,
25.704,170.579,-31.5601,
26.3027,170.352,-31.1549,
26.9153,170.119,-30.7495,
27.5423,169.88,-30.3438,
28.1838,169.634,-29.9379,
28.8403,169.383,-29.5317,
29.5121,169.124,-29.1252,
30.1995,168.859,-28.7185,
30.903,168.587,-28.3114,
31.6228,168.308,-27.904,
32.3594,168.021,-27.4963,
33.1131,167.726,-27.0882,
33.8844,167.423,-26.6797,
34.6737,167.112,-26.2709,
35.4813,166.793,-25.8617,
36.3078,166.464,-25.4521,
37.1535,166.127,-25.0421,
38.0189,165.78,-24.6317,
38.9045,165.423,-24.2207,
39.8107,165.055,-23.8094,
40.738,164.678,-23.3975,
41.6869,164.289,-22.9851,
42.658,163.889,-22.5722,
43.6516,163.477,-22.1587,
44.6684,163.052,-21.7447,
45.7088,162.615,-21.3301,
46.7735,162.165,-20.9149,
47.863,161.7,-20.4991,
48.9779,161.222,-20.0826,
50.1187,160.728,-19.6655,
51.2861,160.219,-19.2477,
52.4807,159.693,-18.8292,
53.7032,159.15,-18.41,
54.9541,158.59,-17.99,
56.2341,158.011,-17.5694,
57.544,157.413,-17.148,
58.8844,156.794,-16.7258,
60.256,156.154,-16.3029,
61.6595,155.492,-15.8792,
63.0957,154.806,-15.4547,
64.5654,154.096,-15.0295,
66.0693,153.36,-14.6035,
67.6083,152.598,-14.1768,
69.1831,151.807,-13.7494,
70.7946,150.987,-13.3213,
72.4436,150.136,-12.8925,
74.131,149.252,-12.4632,
75.8578,148.334,-12.0333,
77.6247,147.38,-11.603,
79.4328,146.388,-11.1724,
81.2831,145.356,-10.7416,
83.1764,144.282,-10.3106,
85.1138,143.165,-9.87973,
87.0964,142.001,-9.44911,
89.1251,140.79,-9.01896,
91.2011,139.528,-8.58955,
93.3254,138.212,-8.16117,
95.4993,136.842,-7.73414,
97.7237,135.414,-7.30885,
100,133.926,-6.88574,
102.329,132.375,-6.46528,
104.713,130.76,-6.04802,
107.152,129.078,-5.63458,
109.648,127.327,-5.22562,
112.202,125.506,-4.82188,
114.815,123.614,-4.42417,
117.49,121.65,-4.03337,
120.226,119.613,-3.6504,
123.027,117.503,-3.27625,
125.893,115.323,-2.91195,
128.825,113.073,-2.55857,
131.826,110.757,-2.21718,
134.896,108.378,-1.88885,
138.038,105.941,-1.57464,
141.254,103.451,-1.27551,
144.544,100.915,-0.992385,
147.911,98.3413,-0.72605,
151.356,95.7373,-0.477165,
154.882,93.1122,-0.24623,
158.489,90.4757,-0.0335661,
162.181,87.8372,0.160693,
165.959,85.2067,0.336607,
169.824,82.5937,0.494429,
173.78,80.0073,0.634593,
177.828,77.4561,0.7577,
181.97,74.9481,0.864497,
186.209,72.4902,0.955848,
190.546,70.0885,1.03271,
194.984,67.7479,1.09612,
199.526,65.4726,1.14712,
204.174,63.2656,1.18681,
208.93,61.1292,1.21624,
213.796,59.0646,1.23647,
218.776,57.0725,1.2485,
223.872,55.1528,1.25329,
229.087,53.3049,1.25172,
234.423,51.5277,1.24464,
239.883,49.8197,1.2328,
245.471,48.1791,1.21691,
251.189,46.604,1.19758,
257.04,45.0921,1.17541,
263.027,43.6411,1.15088,
269.153,42.2487,1.12446,
275.423,40.9125,1.09655,
281.838,39.6301,1.06749,
288.403,38.3991,1.03759,
295.121,37.2172,1.00712,
301.995,36.0821,0.976314,
309.03,34.9916,0.94537,
316.228,33.9437,0.91446,
323.594,32.9361,0.883728,
331.131,31.9672,0.853298,
338.844,31.0348,0.823275,
346.737,30.1374,0.793742,
