frequency,V(LPF) (Phase),V(LPF) (Verstärkung),
10,-3.61033,0.0168682,
10.2329,-3.69488,0.017673,
10.4713,-3.78143,0.0185154,
10.7152,-3.87004,0.0193974,
10.9648,-3.96075,0.0203208,
11.2202,-4.05361,0.0212875,
11.4815,-4.14868,0.0222995,
11.749,-4.24601,0.0233589,
12.0226,-4.34565,0.024468,
12.3027,-4.44767,0.025629,
12.5893,-4.55213,0.0268444,
12.8825,-4.65907,0.0281167,
13.1826,-4.76858,0.0294486,
13.4896,-4.8807,0.0308427,
13.8038,-4.99551,0.0323021,
14.1254,-5.11308,0.0338297,
14.4544,-5.23347,0.0354287,
14.7911,-5.35676,0.0371024,
15.1356,-5.48302,0.0388542,
15.4882,-5.61233,0.0406878,
15.8489,-5.74477,0.0426069,
16.2181,-5.88041,0.0446156,
16.5959,-6.01934,0.0467178,
16.9824,-6.16165,0.0489179,
17.378,-6.30743,0.0512205,
17.7828,-6.45676,0.0536301,
18.197,-6.60975,0.0561518,
18.6209,-6.76648,0.0587906,
19.0546,-6.92707,0.061552,
19.4984,-7.09161,0.0644414,
19.9526,-7.26021,0.0674647,
20.4174,-7.43298,0.0706281,
20.893,-7.61004,0.0739378,
21.3796,-7.79151,0.0774005,
21.8776,-7.97751,0.0810231,
22.3872,-8.16817,0.0848129,
22.9087,-8.36362,0.0887772,
23.4423,-8.56399,0.092924,
23.9883,-8.76943,0.0972614,
24.5471,-8.98009,0.101798,
25.1189,-9.19611,0.106542,
25.704,-9.41766,0.111504,
26.3027,-9.64491,0.116692,
26.9153,-9.87801,0.122117,
27.5423,-10.1172,0.127789,
28.1838,-10.3625,0.133719,
28.8403,-10.6143,0.139918,
29.5121,-10.8727,0.146398,
30.1995,-11.138,0.15317,
30.903,-11.4102,0.160248,
31.6228,-11.6898,0.167643,
32.3594,-11.9769,0.17537,
33.1131,-12.2717,0.183443,
33.8844,-12.5745,0.191875,
34.6737,-12.8857,0.200681,
35.4813,-13.2054,0.209877,
36.3078,-13.534,0.219478,
37.1535,-13.8717,0.229501,
38.0189,-14.219,0.239962,
38.9045,-14.5761,0.250878,
39.8107,-14.9435,0.262266,
40.738,-15.3214,0.274145,
41.6869,-15.7103,0.286532,
42.658,-16.1106,0.299445,
43.6516,-16.5227,0.312904,
44.6684,-16.9472,0.326928,
45.7088,-17.3844,0.341534,
46.7735,-17.8349,0.356742,
47.863,-18.2993,0.372571,
48.9779,-18.778,0.389039,
50.1187,-19.2718,0.406165,
51.2861,-19.7813,0.423967,
52.4807,-20.307,0.442461,
53.7032,-20.8498,0.461663,
54.9541,-21.4104,0.481589,
56.2341,-21.9895,0.502252,
57.544,-22.5881,0.523663,
58.8844,-23.207,0.545832,
60.256,-23.8471,0.568764,
61.6595,-24.5095,0.592464,
63.0957,-25.1951,0.616931,
64.5654,-25.9052,0.64216,
66.0693,-26.6409,0.66814,
67.6083,-27.4035,0.694856,
69.1831,-28.1942,0.722282,
70.7946,-29.0145,0.750389,
72.4436,-29.8659,0.779133,
