Frequency [Hz], Amplitude [dB], Phase [deg]
10, -62.033012, -88.670441
10.722672220103231, -61.693222, -88.888222
11.497569953977356, -60.995224, -88.737587
12.32846739442066, -60.70406, -90.510513
13.219411484660288, -59.959442, -91.315125
14.174741629268055, -59.378033, -89.24855
15.199110829529339, -58.750313, -88.727463
16.297508346206442, -58.350506, -88.951073
17.47528400007684, -57.687572, -89.560448
18.73817422860384, -57.111454, -88.902985
20.09233002565047, -56.556496, -90.258919
21.544346900318846, -55.994995, -89.513252
23.101297000831604, -55.433083, -89.020607
24.770763559917114, -54.935474, -89.495499
26.560877829466868, -54.374886, -89.302742
28.48035868435802, -53.629868, -89.052406
30.538555088334157, -53.230015, -90.4338
32.74549162877728, -52.500877, -89.080322
35.11191734215131, -51.990639, -89.140701
37.64935806792467, -51.358849, -89.606041
40.37017258596554, -50.702866, -89.415375
43.28761281083057, -49.914108, -89.259613
46.4158883361278, -49.479252, -91.005081
49.770235643321115, -48.759148, -89.336052
53.3669923120631, -48.486763, -89.389847
57.22367659350217, -47.848301, -90.662498
61.35907273413173, -47.286621, -90.589523
65.79332246575683, -46.615425, -90.311836
70.54802310718645, -45.965271, -89.678902
75.64633275546291, -45.127556, -90.654472
81.11308307896873, -44.785328, -90.260948
86.97490026177834, -44.106197, -89.617607
93.26033468832199, -43.559574, -90.163528
100, -42.813103, -90.269135
107.22672220103232, -42.227936, -90.216118
114.97569953977356, -41.654324, -89.978409
123.28467394420659, -41.090282, -90.662941
132.19411484660287, -40.385433, -90.776108
141.74741629268047, -39.77137, -90.677879
151.99110829529332, -39.195904, -90.522156
162.97508346206433, -38.561729, -90.819679
174.7528400007683, -37.940296, -90.667923
187.3817422860383, -37.284592, -90.795532
200.92330025650458, -36.663933, -90.876862
215.44346900318845, -36.023701, -90.905731
231.01297000831605, -35.435238, -91.212296
247.70763559917114, -34.781479, -91.046875
265.6087782946687, -34.101448, -91.185089
284.8035868435802, -33.481163, -91.350182
305.3855508833416, -32.810188, -91.438751
327.45491628777285, -32.159298, -91.628662
351.1191734215131, -31.469429, -91.707436
376.49358067924675, -30.757965, -91.802711
403.70172585965577, -30.074142, -91.948738
432.87612810830615, -29.356361, -92.183907
464.1588833612782, -28.612135, -92.338516
497.7023564332114, -27.863636, -92.445343
533.6699231206312, -27.07649, -92.791168
572.236765935022, -26.248377, -92.944832
613.5907273413176, -25.413521, -93.291122
657.9332246575682, -24.511023, -93.636887
705.4802310718645, -23.555136, -93.980408
756.463327554629, -22.553263, -94.553116
811.1308307896873, -21.432228, -95.130966
869.7490026177834, -20.254047, -95.918488
932.60334688322, -18.925602, -96.904007
1000, -17.346355, -98.334824
1072.2672220103232, -15.501341, -100.376442
1149.7569953977356, -13.248186, -103.260979
1232.8467394420659, -10.298653, -108.761848
1321.9411484660286, -6.230379, -120.875893
1417.4741629268049, -0.946843, -160.778503
1519.9110829529332, -2.921278, 138.28154
1629.750834620645, -7.954972, 114.781822
1747.5284000076847, -11.4962, 106.165192
1873.817422860385, -14.125763, 101.579254
2009.2330025650479, -16.216909, 99.409813
2154.4346900318847, -17.899384, 97.217384
2310.1297000831605, -19.364523, 96.507942
2477.0763559917114, -20.688257, 95.478996
2656.0877829466867, -21.8535, 94.651886
2848.035868435802, -22.913639, 94.073532
3053.8555088334156, -23.874434, 93.719131
3274.5491628777286, -24.769382, 93.130791
3511.191734215131, -25.675657, 92.816643
3764.9358067924672, -26.454781, 92.391273
4037.017258596554, -27.245461, 92.246948
4328.761281083057, -27.997019, 92.049973
4641.588833612782, -28.722275, 91.588814
4977.023564332114, -29.446579, 91.36647
5336.699231206313, -30.13702, 91.101707
5722.3676593502205, -30.810802, 90.783806
6135.907273413176, -31.492254, 90.485596
6579.332246575683, -32.125217, 90.494392
7054.8023107186455, -32.773407, 90.300659
7564.633275546291, -33.399014, 90.004272
8111.308307896872, -34.027149, 89.547676
8697.490026177835, -34.632065, 89.431335
9326.0334688322, -35.21759, 88.971893
