Frequency [Hz], Amplitude [dB], Phase [deg]
400.0000000000001, -13.713472, -91.607269
413.2192998175722, -13.40204, -91.64817
426.8754743543115, -13.086629, -91.835953
440.98296155495643, -12.774254, -91.861366
455.55667651304606, -12.423632, -91.888466
470.61202723985275, -12.094579, -91.984276
486.1649309544503, -11.769922, -92.021133
502.23183091214014, -11.343983, -92.147896
518.8297137890296, -11.022731, -92.148247
535.9761276411353, -10.714265, -92.275787
553.6892004570091, -10.37311, -92.371712
571.9876593234915, -10.011477, -92.515732
590.8908502248629, -9.627265, -92.564552
610.4187584963192, -9.239328, -92.679329
630.5920299534017, -8.874665, -92.863869
651.4319927197154, -8.463888, -92.864578
672.9606797760163, -8.059932, -93.130981
695.200852254507, -7.637305, -93.139053
718.176023502967, -7.195824, -93.385864
741.9104839441607, -6.770187, -93.497902
766.4293267568054, -6.313047, -93.733597
791.7584744052508, -5.843014, -93.875542
817.9247060459162, -5.373063, -94.109642
844.9556858394675, -4.882606, -94.324409
872.879992198653, -4.352838, -94.569435
901.7271480027381, -3.792803, -94.925697
931.5276518104691, -3.236288, -95.258606
962.3130101045729, -2.601413, -95.66642
994.1157706018796, -1.983594, -96.025864
1026.969556664287, -1.31292, -96.557213
1060.909102846948, -0.606053, -97.22731
1095.9702916212611, 0.181218, -97.81353
1132.1901913114946, 1.000944, -98.629013
1169.6070952851471, 1.951151, -99.648956
1208.260562438482, 2.963519, -100.935349
1248.1914590200374, 4.120463, -102.458862
1289.4420018363353, 5.402435, -104.471199
1332.0558028854462, 6.869096, -107.30603
1376.0779154656448, 8.616686, -111.389938
1421.5548818078448, 10.68614, -117.761642
1468.534782282223, 13.206562, -128.500504
1517.0672862310273, 16.443077, 166.231873
1567.2037044813233, 16.021833, 151.302063
1618.9970435931941, 15.166185, 142.323105
1672.5020619007473, 13.065385, 128.589554
1727.7753274051813, 10.599815, 118.160645
1784.8752775811136, 8.539049, 111.945328
1843.8622811594062, 6.807764, 107.923241
1904.798701951801, 5.341829, 105.102173
1967.7489647848604, 4.061985, 103.141624
2032.779623612879, 2.951586, 101.545418
2099.9594318818563, 1.908383, 100.331238
2169.3594152188157, 0.981293, 99.389839
2241.052946523442, 0.167566, 98.521095
2315.115823541309, -0.596069, 97.879066
2391.626349000804, -1.326405, 97.23246
2470.6654133984216, -1.998929, 96.821381
2552.31658051997, -2.658705, 96.407028
2636.666175788105, -3.225887, 95.947922
2723.8033775295908, -3.772521, 95.683151
2813.820311258789, -4.299547, 95.3974
2906.812147077049, -4.818602, 95.129456
3002.877200290979, -5.332822, 94.864578
3102.117035355971, -5.817608, 94.668495
3204.6365732548957, -6.279788, 94.421288
3310.5442024254257, -6.711652, 94.265343
3419.951893353393, -7.171533, 94.077614
3532.975316953173, -7.585363, 93.918961
3649.7339668603877, -7.983134, 93.793617
3770.3512857661485, -8.417661, 93.618576
3894.954795926427, -8.790292, 93.557175
4023.6762339845313, -9.179439, 93.327118
4156.651690249234, -9.565516, 93.347504
4294.02175257579, -9.925031, 93.280724
4435.93165500198, -10.338678, 93.099106
4582.5314312963055, -10.675533, 93.003044
4733.976073580685, -11.0184, 92.950211
4890.42569619538, -11.353546, 92.873428
5052.0457049792885, -11.687207, 92.824516
5219.006972144791, -12.046211, 92.789101
5391.486016931738, -12.384172, 92.638649
5569.665192231915, -12.708355, 92.549843
5753.732877380932, -13.009462, 92.42675
5943.883677321734, -13.327569, 92.395744
6140.318628349956, -13.639353, 92.346947
6343.245410658909, -13.954288, 92.26783
6552.878567908756, -14.24367, 92.088165
6769.439734052076, -14.594051, 92.092751
6993.157867655627, -14.935885, 92.040207
7224.269493966002, -15.234803, 92.103958
7463.018954975201, -15.502247, 91.934814
7709.658667750296, -15.793152, 91.868111
7964.449391300642, -16.088507, 91.721985
8227.66050226434, -16.372068, 91.87188
8499.57027970592, -16.650684, 91.703651
8780.466199325805, -16.958115, 91.634651
9070.64523739317, -17.213642, 91.493271
9370.414184723002, -17.548063, 91.162117
9680.089971029713, -17.833714, 91.491409
10000, -18.100374, 91.291023
