Frequency [Hz], Amplitude [dB], Phase [deg]
10, -19.928427, 179.951492
10.722672220103231, -19.928425, 179.947861
11.497569953977356, -19.931416, 179.945862
12.32846739442066, -19.928185, 179.945053
13.219411484660288, -19.930798, 179.949005
14.174741629268055, -19.930424, 179.944214
15.199110829529339, -19.92852, 179.945801
16.297508346206442, -19.928257, 179.92865
17.47528400007684, -19.928856, 179.925217
18.73817422860384, -19.930359, 179.942001
20.09233002565047, -19.931757, 179.917068
21.544346900318846, -19.927162, 179.912415
23.101297000831604, -19.93067, 179.905945
24.770763559917114, -19.928297, 179.910233
26.560877829466868, -19.928883, 179.895294
28.48035868435802, -19.929249, 179.880295
30.538555088334157, -19.931814, 179.892807
32.74549162877728, -19.922737, 179.851624
35.11191734215131, -19.92964, 179.9021
37.64935806792467, -19.933544, 179.881699
40.37017258596554, -19.931705, 179.882111
43.28761281083057, -19.924168, 179.830627
46.4158883361278, -19.933064, 179.791504
49.770235643321115, -19.922915, 179.813156
53.3669923120631, -19.929379, 179.843094
57.22367659350217, -19.936375, 179.802124
61.35907273413173, -19.938328, 179.790955
65.79332246575683, -19.934601, 179.799271
70.54802310718645, -19.922371, 179.754425
75.64633275546291, -19.930361, 179.667511
81.11308307896873, -19.932861, 179.66745
86.97490026177834, -19.92326, 179.630402
93.26033468832199, -19.933613, 179.610504
100, -19.932602, 179.59256
107.22672220103232, -19.919437, 179.577301
114.97569953977356, -19.933445, 179.559433
123.28467394420659, -19.926243, 179.536911
132.19411484660287, -19.926146, 179.521072
141.74741629268047, -19.932062, 179.463455
151.99110829529332, -19.933813, 179.41333
162.97508346206433, -19.931686, 179.405411
174.7528400007683, -19.927279, 179.342804
187.3817422860383, -19.927195, 179.258362
200.92330025650458, -19.937742, 179.200684
215.44346900318845, -19.928543, 179.154266
231.01297000831605, -19.928026, 179.074005
247.70763559917114, -19.931124, 179.025116
265.6087782946687, -19.934376, 178.915421
284.8035868435802, -19.926413, 178.879761
305.3855508833416, -19.933329, 178.756638
327.45491628777285, -19.930241, 178.668747
351.1191734215131, -19.932722, 178.517288
376.49358067924675, -19.932203, 178.460419
403.70172585965577, -19.930622, 178.326065
432.87612810830615, -19.935936, 178.15036
464.1588833612782, -19.933187, 178.021729
497.7023564332114, -19.935305, 177.850586
533.6699231206312, -19.93671, 177.661118
572.236765935022, -19.940443, 177.416519
613.5907273413176, -19.938622, 177.188354
657.9332246575682, -19.941767, 176.892456
705.4802310718645, -19.944153, 176.54306
756.463327554629, -19.950626, 176.143478
811.1308307896873, -19.957613, 175.657532
869.7490026177834, -19.962605, 175.085251
932.60334688322, -19.974113, 174.290619
1000, -19.992191, 173.244949
1072.2672220103232, -20.027124, 171.884247
1149.7569953977356, -20.085554, 169.801102
1232.8467394420659, -20.206778, 166.462112
1321.9411484660286, -20.542891, 160.092392
1417.4741629268049, -22.04882, 144.379089
1519.9110829529332, -41.905388, -145.443726
1629.750834620645, -21.830086, -146.274796
1747.5284000076847, -20.490458, -160.856888
1873.817422860385, -20.190647, -167.04866
2009.2330025650479, -20.074806, -170.212128
2154.4346900318847, -20.014919, -172.246307
2310.1297000831605, -19.989983, -173.601349
2477.0763559917114, -19.971931, -174.598785
2656.0877829466867, -19.962433, -175.363007
2848.035868435802, -19.957436, -175.964905
3053.8555088334156, -19.946224, -176.428024
3274.5491628777286, -19.937323, -176.881744
3511.191734215131, -19.939724, -177.238861
3764.9358067924672, -19.938477, -177.527649
4037.017258596554, -19.938152, -177.798538
4328.761281083057, -19.938477, -178.050171
4641.588833612782, -19.937883, -178.280426
4977.023564332114, -19.936354, -178.455063
5336.699231206313, -19.938553, -178.661636
5722.3676593502205, -19.93906, -178.802734
6135.907273413176, -19.938553, -178.974091
6579.332246575683, -19.942871, -179.103455
7054.8023107186455, -19.944393, -179.261414
7564.633275546291, -19.947128, -179.353424
8111.308307896872, -19.943119, -179.5009
8697.490026177835, -19.954435, -179.654205
9326.0334688322, -19.959732, -179.714828
10000, -19.961391, -179.820099
