Frequency [Hz], Amplitude [dB], Phase [deg]
400.0000000000001, -2.470485, 178.556549
413.2192998175722, -2.412853, 178.506729
426.8754743543115, -2.44378, 178.428894
440.98296155495643, -2.426737, 178.399078
455.55667651304606, -2.381869, 178.318298
470.61202723985275, -2.38971, 178.269058
486.1649309544503, -2.402174, 178.195053
502.23183091214014, -2.380299, 178.115204
518.8297137890296, -2.395619, 178.015976
535.9761276411353, -2.369177, 177.965591
553.6892004570091, -2.340931, 177.879349
571.9876593234915, -2.337667, 177.772736
590.8908502248629, -2.335089, 177.674988
610.4187584963192, -2.339401, 177.548172
630.5920299534017, -2.336207, 177.45871
651.4319927197154, -2.353594, 177.330292
672.9606797760163, -2.387684, 177.215347
695.200852254507, -2.376074, 177.053802
718.176023502967, -2.35691, 176.909286
741.9104839441607, -2.362403, 176.746063
766.4293267568054, -2.384298, 176.596451
791.7584744052508, -2.369032, 176.377762
817.9247060459162, -2.370772, 176.167206
844.9556858394675, -2.369035, 175.93869
872.879992198653, -2.403741, 175.697357
901.7271480027381, -2.382776, 175.409653
931.5276518104691, -2.406523, 175.10144
962.3130101045729, -2.416037, 174.694
994.1157706018796, -2.412048, 174.285919
1026.969556664287, -2.409288, 173.85144
1060.909102846948, -2.41989, 173.263916
1095.9702916212611, -2.433374, 172.621414
1132.1901913114946, -2.499339, 171.867432
1169.6070952851471, -2.529421, 170.92392
1208.260562438482, -2.543923, 169.773361
1248.1914590200374, -2.59748, 168.28595
1289.4420018363353, -2.70422, 166.336426
1332.0558028854462, -2.813283, 163.704712
1376.0779154656448, -2.983999, 159.879395
1421.5548818078448, -3.461974, 153.965225
1468.534782282223, -4.546319, 144.162582
1517.0672862310273, -14.421566, -127.986786
1567.2037044813233, -8.476702, -124.899834
1618.9970435931941, -6.550905, -131.467285
1672.5020619007473, -4.445371, -143.588303
1727.7753274051813, -3.410294, -153.253784
1784.8752775811136, -2.968475, -159.124878
1843.8622811594062, -2.722863, -162.911499
1904.798701951801, -2.594947, -165.562576
1967.7489647848604, -2.540975, -167.494263
2032.779623612879, -2.510075, -168.948776
2099.9594318818563, -2.426781, -170.115936
2169.3594152188157, -2.410515, -171.05365
2241.052946523442, -2.443805, -171.80748
2315.115823541309, -2.413725, -172.446915
2391.626349000804, -2.386113, -172.987061
2470.6654133984216, -2.346715, -173.432526
2552.31658051997, -2.342494, -173.846252
2636.666175788105, -2.331071, -174.163605
2723.8033775295908, -2.328422, -174.52182
2813.820311258789, -2.327486, -174.774826
2906.812147077049, -2.311723, -175.032532
3002.877200290979, -2.295698, -175.225372
3102.117035355971, -2.296111, -175.436752
3204.6365732548957, -2.320765, -175.639908
3310.5442024254257, -2.291035, -175.799927
3419.951893353393, -2.324369, -175.949814
3532.975316953173, -2.31948, -176.074692
3649.7339668603877, -2.311867, -176.178253
3770.3512857661485, -2.296652, -176.282578
3894.954795926427, -2.276287, -176.379227
4023.6762339845313, -2.284375, -176.50235
4156.651690249234, -2.293613, -176.586563
4294.02175257579, -2.263853, -176.663651
4435.93165500198, -2.254344, -176.734818
4582.5314312963055, -2.287416, -176.793671
4733.976073580685, -2.272357, -176.887589
4890.42569619538, -2.271527, -176.924316
5052.0457049792885, -2.255044, -176.986633
5219.006972144791, -2.229283, -177.030167
5391.486016931738, -2.222627, -177.118866
5569.665192231915, -2.212762, -177.163025
5753.732877380932, -2.205275, -177.17923
5943.883677321734, -2.202306, -177.206055
6140.318628349956, -2.212345, -177.266953
6343.245410658909, -2.219924, -177.304413
6552.878567908756, -2.182863, -177.342377
6769.439734052076, -2.202472, -177.343735
6993.157867655627, -2.210199, -177.384521
7224.269493966002, -2.172667, -177.437454
7463.018954975201, -2.193078, -177.466141
7709.658667750296, -2.194522, -177.491638
7964.449391300642, -2.143096, -177.496887
8227.66050226434, -2.153565, -177.574295
8499.57027970592, -2.130924, -177.584747
8780.466199325805, -2.14285, -177.573456
9070.64523739317, -2.105918, -177.630722
9370.414184723002, -2.125154, -177.644058
9680.089971029713, -2.132506, -177.707031
