Frequency [Hz], Amplitude [dB], Phase [deg]
10, -21.123409, 179.575699
10.722672220103231, -21.125229, 179.555984
11.497569953977356, -21.123629, 179.494827
12.32846739442066, -21.122072, 179.472488
13.219411484660288, -21.117132, 179.432846
14.174741629268055, -21.119612, 179.32663
15.199110829529339, -21.122206, 179.337234
16.297508346206442, -21.121693, 179.249451
17.47528400007684, -21.119553, 179.219864
18.73817422860384, -21.116734, 179.156342
20.09233002565047, -21.11664, 179.118958
21.544346900318846, -21.115009, 179.02002
23.101297000831604, -21.119738, 178.978928
24.770763559917114, -21.117994, 178.870193
26.560877829466868, -21.11618, 178.807465
28.48035868435802, -21.117821, 178.694977
30.538555088334157, -21.111561, 178.594162
32.74549162877728, -21.119053, 178.437164
35.11191734215131, -21.115166, 178.275406
37.64935806792467, -21.131287, 178.312439
40.37017258596554, -21.12149, 178.144958
43.28761281083057, -21.138027, 177.99855
46.4158883361278, -21.079636, 177.787613
49.770235643321115, -21.163805, 177.103912
53.3669923120631, -21.165771, 177.92746
57.22367659350217, -21.122349, 177.37648
61.35907273413173, -21.101627, 177.200516
65.79332246575683, -21.117653, 176.930664
70.54802310718645, -21.12199, 176.912231
75.64633275546291, -21.126888, 176.609726
81.11308307896873, -21.127451, 176.371063
86.97490026177834, -21.104328, 176.025543
93.26033468832199, -21.122108, 175.777939
100, -21.132492, 175.433578
107.22672220103232, -21.114571, 175.137924
114.97569953977356, -21.128365, 174.796112
123.28467394420659, -21.112387, 174.445343
132.19411484660287, -21.111584, 173.975754
141.74741629268047, -21.111794, 173.603851
151.99110829529332, -21.100142, 173.090652
162.97508346206433, -21.112232, 172.661148
174.7528400007683, -21.094654, 172.150497
187.3817422860383, -21.104708, 171.525482
200.92330025650458, -21.094847, 170.948837
215.44346900318845, -21.083565, 170.288605
231.01297000831605, -21.086246, 169.620621
247.70763559917114, -21.052135, 168.939682
265.6087782946687, -21.05279, 168.190811
284.8035868435802, -21.045795, 167.407532
305.3855508833416, -21.040003, 166.414124
327.45491628777285, -21.013416, 165.46843
351.1191734215131, -21.00602, 164.578156
376.49358067924675, -20.964396, 163.430038
403.70172585965577, -20.93259, 162.353699
432.87612810830615, -20.895205, 161.108368
464.1588833612782, -20.847456, 159.90213
497.7023564332114, -20.786287, 158.53183
533.6699231206312, -20.7281, 157.089813
572.236765935022, -20.630756, 155.595428
613.5907273413176, -20.519562, 153.988739
657.9332246575682, -20.388271, 152.384308
705.4802310718645, -20.225258, 150.511581
756.463327554629, -20.012196, 148.628906
811.1308307896873, -19.745754, 146.527512
869.7490026177834, -19.419426, 144.337936
932.60334688322, -19.012539, 142.084259
1000, -18.476355, 139.410324
1072.2672220103232, -17.745577, 136.348648
1149.7569953977356, -16.760633, 132.793167
1232.8467394420659, -15.40169, 128.211075
1321.9411484660286, -13.420835, 121.394279
1417.4741629268049, -10.303862, 108.709633
1519.9110829529332, -5.769396, 73.167465
1629.750834620645, -7.639215, 4.261854
1747.5284000076847, -13.881644, -23.788162
1873.817422860385, -18.558025, -34.517639
2009.2330025650479, -22.25581, -40.641006
2154.4346900318847, -25.337393, -44.958172
2310.1297000831605, -28.12063, -48.234432
2477.0763559917114, -30.652979, -51.13966
2656.0877829466867, -33.001354, -53.535263
2848.035868435802, -35.631229, -55.58337
3053.8555088334156, -37.753704, -58.632454
3274.5491628777286, -39.686066, -60.572262
3511.191734215131, -41.591011, -61.905754
3764.9358067924672, -43.520065, -63.529606
4037.017258596554, -45.44138, -66.807915
4328.761281083057, -47.198196, -68.981216
4641.588833612782, -49.399109, -66.873482
4977.023564332114, -51.030014, -72.393456
5336.699231206313, -53.718281, -60.478367
5722.3676593502205, -54.984985, -71.721901
6135.907273413176, -58.030972, -59.887634
6579.332246575683, -59.919361, -56.186886
7054.8023107186455, -61.685211, -42.231483
7564.633275546291, -61.985947, -39.344814
8111.308307896872, -63.933968, -29.137222
8697.490026177835, -64.218727, -17.912909
9326.0334688322, -63.958504, -23.371725
10000, -63.099472, -12.854577
