Frequency [Hz], Amplitude [dB], Phase [deg]
400.0000000000001, -42.4599, 177.435989
413.2192998175722, -41.921043, 177.783981
426.8754743543115, -41.30632, 177.76886
440.98296155495643, -40.731705, 177.642715
455.55667651304606, -40.052029, 177.427521
470.61202723985275, -39.461231, 177.513367
486.1649309544503, -38.85574, 177.335495
502.23183091214014, -38.183342, 177.178696
518.8297137890296, -37.550713, 177.032318
535.9761276411353, -36.872662, 177.052963
553.6892004570091, -36.230377, 177.054916
571.9876593234915, -35.570473, 176.78656
590.8908502248629, -34.898773, 176.666351
610.4187584963192, -34.270676, 176.765381
630.5920299534017, -33.56953, 176.541168
651.4319927197154, -32.883499, 176.384689
672.9606797760163, -32.201965, 176.217957
695.200852254507, -31.462679, 175.981583
718.176023502967, -30.753786, 175.85495
741.9104839441607, -30.038862, 175.670746
766.4293267568054, -29.277857, 175.440048
791.7584744052508, -28.496689, 175.220764
817.9247060459162, -27.7141, 174.936813
844.9556858394675, -26.921963, 174.648087
872.879992198653, -26.078091, 174.380035
901.7271480027381, -25.229572, 173.901245
931.5276518104691, -24.348801, 173.719604
962.3130101045729, -23.398972, 173.091858
994.1157706018796, -22.482597, 172.522018
1026.969556664287, -21.454922, 172.124359
1060.909102846948, -20.396954, 171.121948
1095.9702916212611, -19.285244, 170.528076
1132.1901913114946, -18.058819, 169.291748
1169.6070952851471, -16.801321, 168.167175
1208.260562438482, -15.327023, 166.421463
1248.1914590200374, -13.829747, 164.238785
1289.4420018363353, -12.021858, 161.484573
1332.0558028854462, -10.073342, 157.132843
1376.0779154656448, -7.693908, 150.83873
1421.5548818078448, -5.034535, 139.842957
1468.534782282223, -2.130708, 120.367401
1517.0672862310273, -0.594662, 89.010773
1567.2037044813233, -1.649947, 57.943226
1618.9970435931941, -3.984349, 39.108459
1672.5020619007473, -6.094365, 28.150177
1727.7753274051813, -7.834852, 22.11025
1784.8752775811136, -9.302927, 17.812082
1843.8622811594062, -10.442586, 14.829017
1904.798701951801, -11.44536, 12.951159
1967.7489647848604, -12.318224, 11.164843
2032.779623612879, -13.010704, 9.780933
2099.9594318818563, -13.637182, 9.011205
2169.3594152188157, -14.228797, 8.124391
2241.052946523442, -14.719954, 7.183091
2315.115823541309, -15.133387, 6.57168
2391.626349000804, -15.520084, 6.211333
2470.6654133984216, -15.884512, 5.792779
2552.31658051997, -16.220798, 5.33057
2636.666175788105, -16.506357, 4.948336
2723.8033775295908, -16.769657, 4.597591
2813.820311258789, -17.004782, 4.273137
2906.812147077049, -17.224794, 4.026
3002.877200290979, -17.425098, 3.780605
3102.117035355971, -17.604715, 3.57488
3204.6365732548957, -17.773687, 3.423223
3310.5442024254257, -17.928707, 3.23391
3419.951893353393, -18.062109, 3.073544
3532.975316953173, -18.183802, 2.862002
3649.7339668603877, -18.306644, 2.637327
3770.3512857661485, -18.430984, 2.593706
3894.954795926427, -18.536264, 2.474632
4023.6762339845313, -18.620827, 2.28862
4156.651690249234, -18.720238, 2.115139
4294.02175257579, -18.800125, 2.096704
4435.93165500198, -18.876379, 1.871827
4582.5314312963055, -18.94985, 1.889107
4733.976073580685, -19.011944, 1.671163
4890.42569619538, -19.072849, 1.698893
5052.0457049792885, -19.135101, 1.566722
5219.006972144791, -19.18519, 1.423719
5391.486016931738, -19.236719, 1.370257
5569.665192231915, -19.282043, 1.296384
5753.732877380932, -19.328693, 1.255218
5943.883677321734, -19.36742, 1.125957
6140.318628349956, -19.403669, 1.06331
6343.245410658909, -19.439388, 1.012821
6552.878567908756, -19.468433, 0.929309
6769.439734052076, -19.497107, 0.807631
6993.157867655627, -19.530857, 0.772891
7224.269493966002, -19.555483, 0.70146
7463.018954975201, -19.575895, 0.624191
7709.658667750296, -19.602728, 0.552549
7964.449391300642, -19.625967, 0.497327
8227.66050226434, -19.642645, 0.410112
8499.57027970592, -19.663324, 0.387531
8780.466199325805, -19.680605, 0.30561
9070.64523739317, -19.697773, 0.279847
9370.414184723002, -19.710239, 0.211189
9680.089971029713, -19.727932, 0.137055
10000, -19.737804, 0.077603
