frequency,V(HPF) (Phase),V(HPF) (Verstärkung),
398.107,178.471,-23.5042,
407.38,178.43,-23.077,
416.869,178.389,-22.6484,
426.58,178.346,-22.2183,
436.516,178.301,-21.7868,
446.684,178.255,-21.3536,
457.088,178.208,-20.9187,
467.735,178.159,-20.482,
478.63,178.108,-20.0434,
489.779,178.055,-19.6029,
501.187,178,-19.1602,
512.861,177.944,-18.7153,
524.807,177.885,-18.268,
537.032,177.823,-17.8182,
549.541,177.76,-17.3657,
562.341,177.693,-16.9105,
575.44,177.624,-16.4523,
588.844,177.552,-15.9909,
602.56,177.477,-15.5261,
616.595,177.398,-15.0578,
630.957,177.316,-14.5857,
645.654,177.23,-14.1096,
660.693,177.14,-13.6291,
676.083,177.045,-13.1441,
691.831,176.946,-12.6542,
707.946,176.841,-12.159,
724.436,176.731,-11.6583,
741.31,176.614,-11.1515,
758.578,176.491,-10.6384,
776.247,176.36,-10.1183,
794.328,176.222,-9.59074,
812.831,176.074,-9.05521,
831.764,175.917,-8.51102,
851.138,175.749,-7.95747,
870.964,175.568,-7.39379,
891.251,175.375,-6.81908,
912.011,175.166,-6.23237,
933.254,174.94,-5.63256,
954.993,174.695,-5.01839,
977.237,174.428,-4.38847,
1000,174.136,-3.74117,
1023.29,173.815,-3.07466,
1047.13,173.46,-2.38678,
1071.52,173.066,-1.67508,
1096.48,172.625,-0.936652,
1122.02,172.129,-0.168079,
1148.15,171.565,0.634704,
1174.9,170.92,1.47658,
1202.26,170.174,2.36346,
1230.27,169.3,3.30263,
1258.93,168.264,4.3031,
1288.25,167.014,5.37625,
1318.26,165.479,6.53655,
1348.96,163.549,7.80264,
1380.38,161.056,9.19866,
1412.54,157.721,10.7555,
1445.44,153.07,12.5103,
1479.11,146.245,14.4969,
1513.56,135.673,16.6986,
1548.82,118.837,18.8739,
1584.89,94.3698,20.2108,
1621.81,68.2441,19.8071,
1659.59,48.7732,18.188,
1698.24,36.4178,16.3474,
1737.8,28.5606,14.6815,
1778.28,23.3034,13.252,
1819.7,19.594,12.0332,
1862.09,16.8558,10.9871,
1905.46,14.7589,10.0806,
1949.84,13.1046,9.28717,
1995.26,11.7672,8.58664,
2041.74,10.664,7.96324,
2089.3,9.73838,7.40465,
2137.96,8.95046,6.90115,
2187.76,8.27138,6.44493,
2238.72,7.67977,6.02965,
2290.87,7.15945,5.65011,
2344.23,6.69801,5.302,
2398.83,6.28572,4.9817,
2454.71,5.91488,4.68614,
2511.89,5.57932,4.41272,
2570.4,5.27401,4.15921,
2630.27,4.99485,3.92366,
2691.53,4.73843,3.70439,
2754.23,4.50191,3.49991,
2818.38,4.2829,3.30895,
2884.03,4.07937,3.13033,
2951.21,3.8896,2.96306,
3019.95,3.71212,2.8062,
3090.3,3.54563,2.65896,
3162.28,3.38904,2.5206,
3235.94,3.24138,2.39046,
3311.31,3.10179,2.26794,
3388.44,2.96954,2.1525,
3467.37,2.84398,2.04365,
3548.13,2.7245,1.94094,
3630.78,2.61061,1.84395,
3715.35,2.50183,1.75231,
3801.89,2.39775,1.66568,
3890.45,2.298,1.58374,
3981.07,2.20224,1.50619,
4073.8,2.11016,1.43276,
4168.69,2.0215,1.3632,
4265.8,1.936,1.29728,
4365.16,1.85342,1.23478,
4466.84,1.77357,1.17551,
4570.88,1.69625,1.11928,
4677.35,1.62129,1.06591,
4786.3,1.54852,1.01525,
4897.79,1.4778,0.967129,
5011.87,1.40898,0.921422,
5128.61,1.34194,0.877993,
5248.07,1.27656,0.836717,
5370.32,1.21273,0.797479,
5495.41,1.15035,0.760168,
5623.41,1.08932,0.724684,
5754.4,1.02955,0.690929,
5888.44,0.970949,0.658813,
6025.6,0.913448,0.628251,
6165.95,0.856969,0.599163,
6309.57,0.801439,0.571472,
6456.54,0.746793,0.545108,
6606.93,0.692967,0.520004,
6760.83,0.6399,0.496095,
6918.31,0.587536,0.473321,
7079.46,0.535819,0.451627,
7244.36,0.484698,0.430958,
7413.1,0.434122,0.411263,
7585.78,0.384044,0.392494,
7762.47,0.334418,0.374607,
7943.28,0.285199,0.357556,
8128.31,0.236344,0.341303,
8317.64,0.187813,0.325808,
8511.38,0.139566,0.311034,
8709.64,0.0915627,0.296946,
8912.51,0.0437669,0.283512,
9120.11,-0.00385833,0.2707,
9332.54,-0.0513487,0.25848,
9549.93,-0.0987392,0.246824,
9772.37,-0.146064,0.235705,
10000,-0.193356,0.225097,
