Frequency [Hz], Amplitude [dB], Phase [deg]
400.0000000000001, -25.366547, 178.18956
413.2192998175722, -23.906414, 178.043274
426.8754743543115, -22.908661, 177.978577
440.98296155495643, -22.128334, 177.779678
455.55667651304606, -21.426682, 177.548035
470.61202723985275, -20.778715, 177.675247
486.1649309544503, -20.18265, 177.713226
502.23183091214014, -19.588409, 177.673553
518.8297137890296, -18.944635, 177.483856
535.9761276411353, -18.290207, 177.362717
553.6892004570091, -17.607534, 177.347382
571.9876593234915, -16.968336, 177.275055
590.8908502248629, -16.321674, 177.109192
610.4187584963192, -15.701078, 177.0466
630.5920299534017, -15.056259, 176.920792
651.4319927197154, -14.381868, 176.75499
672.9606797760163, -13.669266, 176.658981
695.200852254507, -12.970207, 176.494995
718.176023502967, -12.285435, 176.369431
741.9104839441607, -11.532194, 176.193207
766.4293267568054, -10.817017, 176.066208
791.7584744052508, -10.070027, 175.846924
817.9247060459162, -9.315747, 175.595596
844.9556858394675, -8.562242, 175.380478
872.879992198653, -7.759627, 175.109146
901.7271480027381, -6.946531, 174.859009
931.5276518104691, -6.132568, 174.516953
962.3130101045729, -5.289354, 174.11264
994.1157706018796, -4.405746, 173.71524
1026.969556664287, -3.489834, 173.218903
1060.909102846948, -2.543829, 172.649414
1095.9702916212611, -1.52782, 171.970505
1132.1901913114946, -0.481041, 171.154404
1169.6070952851471, 0.64412, 170.1577
1208.260562438482, 1.834908, 168.909668
1248.1914590200374, 3.08496, 167.345917
1289.4420018363353, 4.414453, 165.393784
1332.0558028854462, 5.804416, 162.630096
1376.0779154656448, 7.070337, 158.474976
1421.5548818078448, 9.44793, 152.212997
1468.534782282223, 12.217265, 141.658005
1517.0672862310273, 15.686899, 115.13269
1567.2037044813233, 16.065081, 65.694298
1618.9970435931941, 15.414434, 54.504063
1672.5020619007473, 13.389163, 38.695988
1727.7753274051813, 11.204757, 28.135912
1784.8752775811136, 9.412785, 21.867664
1843.8622811594062, 7.957995, 17.82193
1904.798701951801, 6.755661, 14.987471
1967.7489647848604, 5.748036, 12.91582
2032.779623612879, 4.890241, 11.380598
2099.9594318818563, 4.151568, 10.116959
2169.3594152188157, 3.51393, 9.134685
2241.052946523442, 2.945412, 8.333947
2315.115823541309, 2.45762, 7.641465
2391.626349000804, 2.013796, 7.089422
2470.6654133984216, 1.621464, 6.562248
2552.31658051997, 1.261644, 6.152637
2636.666175788105, 0.936517, 5.765629
2723.8033775295908, 0.640804, 5.448237
2813.820311258789, 1.7196, 5.116071
2906.812147077049, 1.550519, 4.843151
3002.877200290979, 1.332115, 4.611334
3102.117035355971, 1.168434, 4.402685
3204.6365732548957, 1.007528, 4.215388
3310.5442024254257, 0.818837, 4.024771
3419.951893353393, 0.664317, 3.86351
3532.975316953173, 0.499459, 3.715471
3649.7339668603877, 0.323104, 3.602051
3770.3512857661485, 0.159336, 3.438618
3894.954795926427, 0.011109, 3.339361
4023.6762339845313, -0.158058, 3.222903
4156.651690249234, -0.295477, 3.120973
4294.02175257579, -0.506996, 3.030459
4435.93165500198, -0.692443, 2.932487
4582.5314312963055, -0.835305, 2.838784
4733.976073580685, -0.981869, 2.776485
4890.42569619538, -1.214769, 2.710321
5052.0457049792885, -1.537486, 2.615484
5219.006972144791, -0.990322, 2.555795
5391.486016931738, -1.113229, 2.473024
5569.665192231915, -1.221955, 2.424205
5753.732877380932, -1.249843, 2.36845
5943.883677321734, -1.296085, 2.305476
6140.318628349956, -1.331167, 2.2472
6343.245410658909, -1.360699, 2.17771
6552.878567908756, -1.407014, 2.139787
6769.439734052076, -1.442871, 2.093284
6993.157867655627, -1.481549, 2.026879
7224.269493966002, -1.512437, 1.965291
7463.018954975201, -1.561787, 1.919387
7709.658667750296, -1.586037, 1.891348
7964.449391300642, -1.617516, 1.822875
8227.66050226434, -1.659455, 1.749164
8499.57027970592, -1.705326, 1.720648
8780.466199325805, -1.741825, 1.661963
9070.64523739317, -1.77399, 1.573853
9370.414184723002, -1.85712, 1.559278
9680.089971029713, -1.914651, 1.465308
10000, -1.958279, 1.383132
