Frequency [Hz], Amplitude [dB], Phase [deg]
100, -19.916819, -0.44415
107.22672220103232, -19.91489, -0.495862
114.97569953977356, -19.907217, -0.416362
123.28467394420659, -19.91081, -0.502606
132.19411484660287, -19.890459, -0.62111
141.74741629268047, -19.880827, -0.601029
151.99110829529332, -19.864838, -0.644674
162.97508346206433, -19.849537, -0.660001
174.7528400007683, -19.834867, -0.735072
187.3817422860383, -19.818874, -0.789252
200.92330025650458, -19.794209, -0.84659
215.44346900318845, -19.767525, -0.916263
231.01297000831605, -19.74444, -1.044363
247.70763559917114, -19.705063, -1.055169
265.6087782946687, -19.666786, -1.19113
284.8035868435802, -19.619297, -1.222488
305.3855508833416, -19.571852, -1.324176
327.45491628777285, -19.517591, -1.45132
351.1191734215131, -19.438862, -1.560794
376.49358067924675, -19.360329, -1.671641
403.70172585965577, -19.266298, -1.810154
432.87612810830615, -19.156181, -1.966876
464.1588833612782, -19.031122, -2.150062
497.7023564332114, -18.877787, -2.355152
533.6699231206312, -18.709141, -2.571074
572.236765935022, -18.50919, -2.826807
613.5907273413176, -18.266727, -3.102258
657.9332246575682, -17.980801, -3.479408
705.4802310718645, -17.642002, -3.865675
756.463327554629, -17.240993, -4.364361
811.1308307896873, -16.750961, -4.967767
869.7490026177834, -16.164621, -5.693615
932.60334688322, -15.416264, -6.752015
1000, -14.47653, -8.13177
1072.2672220103232, -13.257803, -10.058007
1149.7569953977356, -11.645579, -12.931071
1232.8467394420659, -9.371485, -18.195751
1321.9411484660286, -5.974111, -29.910217
1417.4741629268049, -1.340817, -67.253174
1519.9110829529332, -3.376351, -128.712967
1629.750834620645, -9.006871, -153.915955
1747.5284000076847, -13.186247, -162.892273
1873.817422860385, -16.468681, -167.906601
2009.2330025650479, -19.235561, -170.19017
2154.4346900318847, -21.497593, -172.296982
2310.1297000831605, -23.61865, -173.17775
2477.0763559917114, -25.560854, -174.332016
2656.0877829466867, -27.354057, -175.219955
2848.035868435802, -29.03928, -175.942978
3053.8555088334156, -30.648897, -176.192764
3274.5491628777286, -32.08316, -176.528931
3511.191734215131, -33.643425, -177.90564
3764.9358067924672, -35.032837, -177.639267
4037.017258596554, -36.523018, -178.262772
4328.761281083057, -37.894676, -178.80307
4641.588833612782, -39.229141, -179.082809
4977.023564332114, -40.629799, 179.729065
5336.699231206313, -41.965088, 178.936371
5722.3676593502205, -43.368893, 178.015045
6135.907273413176, -44.68486, 177.41333
6579.332246575683, -45.958427, 175.702881
7054.8023107186455, -47.292061, 174.686356
7564.633275546291, -48.632896, 173.264862
8111.308307896872, -50.12302, 169.585709
8697.490026177835, -51.474785, 169.824051
9326.0334688322, -52.755562, 166.549149
10000, -54.64386, 162.585632
