frequency,V(LPF) (Phase),V(LPF) (Verstärkung),
100,-0.366178,0.0340903,
102.329,-0.374775,0.0357065,
104.713,-0.383576,0.0373992,
107.152,-0.392587,0.039172,
109.648,-0.401814,0.0410288,
112.202,-0.411262,0.0429735,
114.815,-0.420936,0.0450103,
117.49,-0.430842,0.0471436,
120.226,-0.440987,0.049378,
123.027,-0.451375,0.0517183,
125.893,-0.462014,0.0541695,
128.825,-0.47291,0.0567371,
131.826,-0.484069,0.0594264,
134.896,-0.495499,0.0622434,
138.038,-0.507205,0.0651941,
141.254,-0.519197,0.0682849,
144.544,-0.53148,0.0715226,
147.911,-0.544064,0.0749141,
151.356,-0.556955,0.0784669,
154.882,-0.570163,0.0821886,
158.489,-0.583695,0.0860875,
162.181,-0.59756,0.0901719,
165.959,-0.611768,0.0944509,
169.824,-0.626328,0.0989338,
173.78,-0.641249,0.10363,
177.828,-0.656543,0.108551,
181.97,-0.672218,0.113707,
186.209,-0.688287,0.119108,
190.546,-0.704759,0.124768,
194.984,-0.721648,0.130699,
199.526,-0.738964,0.136913,
204.174,-0.756721,0.143425,
208.93,-0.774931,0.150249,
213.796,-0.793608,0.1574,
218.776,-0.812766,0.164895,
223.872,-0.83242,0.17275,
229.087,-0.852584,0.180982,
234.423,-0.873276,0.189611,
239.883,-0.89451,0.198655,
245.471,-0.916305,0.208136,
251.189,-0.938679,0.218074,
257.04,-0.96165,0.228493,
263.027,-0.985238,0.239416,
269.153,-1.00946,0.250869,
275.423,-1.03435,0.262877,
281.838,-1.05992,0.275469,
288.403,-1.08619,0.288674,
295.121,-1.11319,0.302523,
301.995,-1.14095,0.317047,
309.03,-1.1695,0.332282,
316.228,-1.19886,0.348263,
323.594,-1.22906,0.365029,
331.131,-1.26013,0.382619,
338.844,-1.29212,0.401077,
346.737,-1.32505,0.420445,
354.813,-1.35897,0.440773,
363.078,-1.39391,0.462108,
371.535,-1.42992,0.484506,
380.189,-1.46704,0.50802,
389.045,-1.50532,0.53271,
398.107,-1.54481,0.558638,
407.38,-1.58556,0.58587,
416.869,-1.62764,0.614477,
426.58,-1.67111,0.644532,
436.516,-1.71603,0.676114,
446.684,-1.76247,0.709306,
457.088,-1.81051,0.744198,
467.735,-1.86022,0.780883,
478.63,-1.91171,0.819463,
489.779,-1.96506,0.860042,
501.187,-2.02038,0.902736,
512.861,-2.07776,0.947665,
524.807,-2.13735,0.994959,
537.032,-2.19925,1.04476,
549.541,-2.26362,1.0972,
562.341,-2.3306,1.15246,
575.44,-2.40036,1.2107,
588.844,-2.47308,1.27209,
602.56,-2.54896,1.33685,
616.595,-2.62822,1.40516,
630.957,-2.71109,1.47728,
645.654,-2.79784,1.55342,
660.693,-2.88875,1.63387,
676.083,-2.98416,1.71891,
691.831,-3.08441,1.80884,
707.946,-3.1899,1.904,
724.436,-3.30108,2.00476,
741.31,-3.41843,2.11152,
758.578,-3.54253,2.22471,
776.247,-3.67399,2.34481,
794.328,-3.81352,2.47235,
812.831,-3.96194,2.6079,
831.764,-4.12016,2.7521,
851.138,-4.28924,2.90566,
870.964,-4.4704,3.06937,
891.251,-4.66504,3.24409,
912.011,-4.87479,3.43082,
933.254,-5.10158,3.63065,
954.993,-5.34766,3.84483,
977.237,-5.61571,4.07478,
1000,-5.90892,4.32209,
1023.29,-6.23115,4.58864,
1047.13,-6.58709,4.87653,
1071.52,-6.98249,5.18826,
1096.48,-7.4245,5.52671,
1122.02,-7.92209,5.89531,
1148.15,-8.48669,6.29812,
1174.9,-9.13307,6.74002,
1202.26,-9.88066,7.22694,
1230.27,-10.7555,7.76614,
1258.93,-11.7933,8.36665,
1288.25,-13.0441,9.03983,
1318.26,-14.5807,9.80017,
1348.96,-16.5118,10.6663,
1380.38,-19.0069,11.6624,
1412.54,-22.343,12.8193,
1445.44,-26.9956,14.1741,
1479.11,-33.8223,15.7607,
1513.56,-44.3959,17.5625,
1548.82,-61.234,19.3378,
1584.89,-85.7024,20.2748,
1621.81,-111.83,19.4711,
1659.59,-131.302,17.4521,
1698.24,-143.66,15.2116,
1737.8,-151.519,13.1457,
1778.28,-156.778,11.3163,
1819.7,-160.489,9.69758,
1862.09,-163.229,8.25158,
1905.46,-165.328,6.94508,
1949.84,-166.985,5.75177,
1995.26,-168.324,4.65132,
2041.74,-169.429,3.62801,
2089.3,-170.357,2.66952,
2137.96,-171.147,1.76611,
2187.76,-171.829,0.909994,
2238.72,-172.423,0.0948211,
2290.87,-172.945,-0.684604,
2344.23,-173.409,-1.4326,
2398.83,-173.824,-2.15278,
2454.71,-174.198,-2.84821,
2511.89,-174.536,-3.52149,
2570.4,-174.844,-4.17486,
2630.27,-175.126,-4.81027,
2691.53,-175.385,-5.42938,
2754.23,-175.624,-6.03369,
2818.38,-175.846,-6.62449,
2884.03,-176.053,-7.20293,
2951.21,-176.246,-7.77002,
3019.95,-176.426,-8.32668,
3090.3,-176.596,-8.87371,
3162.28,-176.756,-9.41186,
3235.94,-176.907,-9.94178,
3311.31,-177.05,-10.4641,
3388.44,-177.186,-10.9793,
3467.37,-177.315,-11.4879,
3548.13,-177.438,-11.9903,
3630.78,-177.556,-12.487,
3715.35,-177.669,-12.9784,
3801.89,-177.777,-13.4647,
3890.45,-177.881,-13.9463,
3981.07,-177.981,-14.4235,
4073.8,-178.077,-14.8966,
4168.69,-178.17,-15.3658,
4265.8,-178.26,-15.8313,
4365.16,-178.347,-16.2934,
4466.84,-178.432,-16.7522,
4570.88,-178.514,-17.208,
4677.35,-178.594,-17.6609,
4786.3,-178.671,-18.1111,
4897.79,-178.747,-18.5587,
5011.87,-178.821,-19.0039,
5128.61,-178.894,-19.4468,
5248.07,-178.965,-19.8875,
5370.32,-179.034,-20.3261,
5495.41,-179.102,-20.7628,
5623.41,-179.169,-21.1976,
5754.4,-179.235,-21.6306,
5888.44,-179.3,-22.062,
6025.6,-179.363,-22.4918,
6165.95,-179.426,-22.9201,
6309.57,-179.488,-23.3469,
6456.54,-179.55,-23.7724,
6606.93,-179.611,-24.1966,
6760.83,-179.671,-24.6195,
6918.31,-179.73,-25.0413,
7079.46,-179.789,-25.4619,
7244.36,-179.848,-25.8815,
7413.1,-179.906,-26.3,
7585.78,-179.964,-26.7176,
7762.47,179.978,-27.1342,
7943.28,179.92,-27.5499,
8128.31,179.863,-27.9648,
8317.64,179.806,-28.3789,
8511.38,179.749,-28.7921,
8709.64,179.692,-29.2046,
8912.51,179.635,-29.6164,
9120.11,179.577,-30.0274,
9332.54,179.52,-30.4379,
9549.93,179.463,-30.8476,
9772.37,179.405,-31.2567,
10000,179.348,-31.6653,
