Frequency [Hz], Amplitude [dB], Phase [deg]
400.0000000000001, -1.809195, -1.438533
413.2192998175722, -1.766684, -1.511145
426.8754743543115, -1.726038, -1.544839
440.98296155495643, -1.666329, -1.631394
455.55667651304606, -1.621918, -1.695881
470.61202723985275, -1.554997, -1.755249
486.1649309544503, -1.49972, -1.815299
502.23183091214014, -1.43518, -1.896505
518.8297137890296, -1.385725, -1.99059
535.9761276411353, -1.291386, -2.080066
553.6892004570091, -1.243077, -2.17465
571.9876593234915, -1.150454, -2.26498
590.8908502248629, -1.04565, -2.340477
610.4187584963192, -0.946945, -2.447475
630.5920299534017, -0.822387, -2.600799
651.4319927197154, -0.712002, -2.713019
672.9606797760163, -0.583102, -2.845911
695.200852254507, -0.457314, -2.993214
718.176023502967, -0.308443, -3.166926
741.9104839441607, -0.154113, -3.327149
766.4293267568054, 0.02153, -3.499973
791.7584744052508, 0.210064, -3.687115
817.9247060459162, 0.42011, -3.916048
844.9556858394675, 0.639833, -4.155501
872.879992198653, 0.873837, -4.418473
901.7271480027381, 1.137613, -4.7199
931.5276518104691, 1.432737, -5.055665
962.3130101045729, 1.74444, -5.442513
994.1157706018796, 2.104251, -5.88694
1026.969556664287, 2.505454, -6.35672
1060.909102846948, 2.962457, -6.971007
1095.9702916212611, 3.444108, -7.653008
1132.1901913114946, 4.011611, -8.438972
1169.6070952851471, 4.656141, -9.452708
1208.260562438482, 5.389158, -10.695154
1248.1914590200374, 6.239627, -12.255218
1289.4420018363353, 7.247402, -14.316873
1332.0558028854462, 8.440643, -17.13973
1376.0779154656448, 9.897208, -21.185564
1421.5548818078448, 11.694954, -27.453335
1468.534782282223, 13.894792, -38.139221
1517.0672862310273, 16.820324, -103.839081
1567.2037044813233, 16.147602, -118.890411
1618.9970435931941, 15.027267, -127.492493
1672.5020619007473, 12.69472, -141.019745
1727.7753274051813, 9.948833, -151.446823
1784.8752775811136, 7.593246, -157.71846
1843.8622811594062, 5.590074, -161.738861
1904.798701951801, 3.82829, -164.574493
1967.7489647848604, 2.259425, -166.632721
2032.779623612879, 0.845809, -168.158722
2099.9594318818563, -0.441522, -169.404572
2169.3594152188157, -1.649821, -170.415573
2241.052946523442, -2.765045, -171.221924
2315.115823541309, -3.821352, -171.903915
2391.626349000804, -4.84831, -172.428482
2470.6654133984216, -5.805918, -172.940018
2552.31658051997, -6.70289, -173.437653
2636.666175788105, -7.571182, -173.760529
2723.8033775295908, -8.436364, -174.140732
2813.820311258789, -9.271871, -174.383728
2906.812147077049, -10.059378, -174.648361
3002.877200290979, -10.832214, -174.961487
3102.117035355971, -11.601752, -175.181122
3204.6365732548957, -12.365232, -175.293732
3310.5442024254257, -13.088062, -175.551834
3419.951893353393, -13.83236, -175.70578
3532.975316953173, -14.529453, -175.95668
3649.7339668603877, -15.27156, -175.965103
3770.3512857661485, -15.874254, -176.210876
3894.954795926427, -16.565193, -176.27507
4023.6762339845313, -17.216736, -176.506744
4156.651690249234, -17.855791, -176.679749
4294.02175257579, -18.58234, -176.593842
4435.93165500198, -19.219389, -176.741486
4582.5314312963055, -19.846142, -177.033569
4733.976073580685, -20.471966, -176.977386
4890.42569619538, -21.035929, -177.329651
5052.0457049792885, -21.70293, -177.221222
5219.006972144791, -22.403969, -177.478683
5391.486016931738, -23.007427, -177.245529
5569.665192231915, -23.709774, -177.622604
5753.732877380932, -24.356304, -177.663651
5943.883677321734, -25.022776, -177.819153
6140.318628349956, -25.659985, -177.799637
6343.245410658909, -26.216942, -178.298004
6552.878567908756, -26.783354, -178.234543
6769.439734052076, -27.42914, -178.276062
6993.157867655627, -28.041412, -178.133133
7224.269493966002, -28.629051, -178.228409
7463.018954975201, -29.3442, -178.365997
7709.658667750296, -29.892735, -178.613205
7964.449391300642, -30.539127, -179.271362
8227.66050226434, -31.309565, -178.886719
8499.57027970592, -31.838623, -178.398392
8780.466199325805, -32.38377, -179.107208
9070.64523739317, -33.047184, -178.067764
9370.414184723002, -33.860394, -176.227676
9680.089971029713, -34.421562, -176.610107
10000, -35.094242, -177.814896
