Frequency [Hz], Amplitude [dB], Phase [deg]
10, -0.031228, 172.75528
12.115276586285882, -0.024462, 171.242554
14.677992676220699, -0.027487, 169.407608
17.78279410038923, -0.031632, 167.146912
21.544346900318832, -0.031911, 164.408661
26.10157215682536, -0.034017, 161.075897
31.622776601683793, -0.037013, 157.029007
38.311868495572874, -0.049625, 152.12558
46.41588833612777, -0.050595, 146.066574
56.23413251903491, -0.064387, 138.652939
68.12920690579611, -0.086812, 129.349304
82.54041852680182, -0.156583, 117.512924
100, -0.335057, 102.365784
121.15276586285876, -0.81496, 82.480133
146.7799267622069, -2.066442, 57.529743
177.82794100389228, -4.609241, 30.083633
215.44346900318823, -8.454874, 5.245128
261.0157215682536, -13.034624, -14.388873
316.22776601683796, -17.906155, -29.354586
383.1186849557285, -23.006575, -40.933094
464.15888336127773, -28.302547, -49.832119
562.341325190349, -32.931602, -57.460735
681.2920690579608, -37.505127, -64.330971
825.4041852680182, -41.956474, -71.434105
1000, -48.343159, -73.586609
