Frequency [Hz], Amplitude [dB], Phase [deg]
10, -0.057593, 176.468475
10.476157527896646, -0.059641, 176.287506
10.974987654930562, -0.058643, 176.14003
11.497569953977356, -0.064686, 175.936188
12.045035402587823, -0.061511, 175.783264
12.618568830660204, -0.062717, 175.552277
13.219411484660288, -0.070091, 175.321243
13.848863713938732, -0.074748, 175.102127
14.508287784959395, -0.076885, 174.895523
15.199110829529339, -0.080721, 174.627625
15.922827933410922, -0.083394, 174.378036
16.68100537200059, -0.085615, 174.115799
17.47528400007684, -0.089455, 173.812973
18.30738280295368, -0.093289, 173.532089
19.179102616724887, -0.10112, 173.207855
20.09233002565047, -0.107728, 172.884933
21.049041445120206, -0.115577, 172.55603
22.051307399030456, -0.116476, 172.197311
23.101297000831604, -0.127677, 171.802795
24.20128264794382, -0.139545, 171.383041
25.353644939701113, -0.150343, 170.981201
26.560877829466868, -0.159908, 170.527847
27.825594022071243, -0.173419, 170.068497
29.150530628251772, -0.185453, 169.572601
30.538555088334157, -0.201181, 169.05864
31.992671377973846, -0.217445, 168.515396
33.516026509388425, -0.235451, 167.945892
35.11191734215131, -0.25473, 167.313889
36.783797718286344, -0.280391, 166.684097
38.53528593710529, -0.303667, 165.989273
40.37017258596554, -0.3301, 165.264374
42.29242874389499, -0.368729, 164.550507
44.30621457583882, -0.397986, 163.698563
46.4158883361278, -0.440814, 162.849518
48.62601580065353, -0.488329, 161.930374
50.9413801481638, -0.537139, 160.921326
53.3669923120631, -0.58859, 160.007584
55.90810182512222, -0.651599, 158.871902
58.570208180566674, -0.727196, 157.658936
61.35907273413176, -0.804867, 156.402344
64.28073117284322, -0.90339, 155.022003
67.34150657750821, -1.00478, 153.572098
70.54802310718645, -1.132067, 151.989883
73.90722033525779, -1.281749, 150.284317
77.4263682681127, -1.442493, 148.470657
81.11308307896873, -1.635049, 146.47049
84.97534359086447, -1.865696, 144.358719
89.02150854450389, -2.12782, 142.044998
93.26033468832199, -2.448134, 139.543152
97.70099572992257, -2.81743, 136.838257
102.35310218990269, -3.277658, 133.91246
107.22672220103232, -3.816604, 130.645828
112.33240329780277, -4.488908, 127.129997
117.68119524349991, -5.326097, 123.324272
123.28467394420659, -6.363058, 119.25457
129.1549665014884, -7.693169, 114.836288
135.30477745798075, -9.458094, 110.245857
141.74741629268047, -11.953778, 105.447617
148.4968262254465, -15.621095, 100.65834
155.56761439304722, -22.609722, 96.855293
162.97508346206433, -34.55201, -101.462807
170.7352647470692, -19.080965, -98.256302
178.8649529057435, -13.970383, -102.780922
187.3817422860385, -10.837894, -107.452797
196.30406500402725, -8.750305, -112.178436
205.65123083486515, -7.137821, -116.664879
215.44346900318845, -5.923613, -120.891098
225.70197196339214, -4.983022, -124.807037
236.4489412645407, -4.214746, -128.497665
247.70763559917114, -3.595531, -131.890686
259.5024211399737, -3.088861, -134.950943
271.85882427329403, -2.668943, -137.878555
284.8035868435802, -2.318864, -140.530289
298.364724028334, -2.024941, -142.946304
312.5715849688235, -1.776756, -145.155487
327.4549162877732, -1.556661, -147.214127
343.04692863149194, -1.382751, -149.146439
359.38136638046257, -1.227776, -150.855194
376.49358067924715, -1.087034, -152.504089
394.4206059437656, -0.975211, -154.077988
413.20124001153386, -0.870915, -155.438522
432.87612810830615, -0.777846, -156.7798
453.4878508128582, -0.703525, -157.996033
475.0810162102798, -0.629178, -159.130249
497.7023564332114, -0.573528, -160.186188
521.4008287999684, -0.515529, -161.177902
546.2277217684342, -0.470015, -162.123276
572.236765935022, -0.420891, -163.022842
599.4842503189409, -0.38863, -163.860687
628.029144183426, -0.348065, -164.65239
657.9332246575682, -0.320533, -165.373993
689.2612104349695, -0.2919, -166.090332
722.0809018385471, -0.267785, -166.745926
756.463327554629, -0.243514, -167.356415
792.4828983539178, -0.225519, -167.952606
830.2175681319752, -0.207095, -168.513092
869.7490026177834, -0.190775, -169.063873
911.1627561154896, -0.172129, -169.522263
954.5484566618347, -0.163899, -170.000153
1000, -0.150088, -170.437531
