Frequency [Hz], Amplitude [dB], Phase [deg]
10, -0.024807, -3.514484
12.115276586285882, -0.015487, -4.260433
14.677992676220699, -0.005624, -5.159771
17.78279410038923, 0.01003, -6.272627
21.544346900318832, 0.034798, -7.629676
26.10157215682536, 0.069893, -9.300239
31.622776601683793, 0.123243, -11.377804
38.311868495572874, 0.19941, -13.923067
46.41588833612777, 0.30973, -17.175795
56.23413251903491, 0.462697, -21.330477
68.12920690579611, 0.667512, -26.824728
82.54041852680182, 0.919215, -34.332375
100, 1.17679, -44.690586
121.15276586285876, 1.260784, -59.4202
146.7799267622069, 0.719539, -78.904251
177.82794100389228, -0.952206, -100.898056
215.44346900318823, -3.761315, -120.353493
261.0157215682536, -7.16393, -134.975235
316.22776601683796, -10.773301, -145.380081
383.1186849557285, -14.381872, -152.917145
464.15888336127773, -17.922209, -158.430923
562.341325190349, -21.386292, -162.722717
681.2920690579608, -25.147747, -165.918594
825.4041852680182, -28.67264, -168.489136
1000, -32.13134, -171.569321
