Frequency [Hz], Amplitude [dB], Phase [deg]
100, -24.713463, -91.100502
104.76157527896652, -24.234343, -91.162239
109.74987654930557, -23.829868, -91.113083
114.97569953977356, -23.310738, -91.211975
120.45035402587824, -22.8491, -91.175545
126.1856883066021, -22.420179, -91.207489
132.19411484660287, -21.951576, -91.159721
138.48863713938732, -21.54847, -91.346291
145.082877849594, -21.164694, -91.43145
151.99110829529332, -20.728859, -91.275963
159.22827933410923, -20.330147, -91.470131
166.81005372000593, -19.912754, -91.509773
174.7528400007683, -19.506046, -91.447708
183.07382802953677, -19.10331, -91.472939
191.79102616724887, -18.715405, -91.521355
200.9233002565048, -18.254919, -91.565956
210.49041445120199, -17.823584, -91.594505
220.51307399030455, -17.382727, -91.628555
231.01297000831605, -16.929789, -91.762123
242.01282647943833, -16.513386, -91.803268
253.53644939701115, -16.106228, -91.801422
265.6087782946687, -15.702601, -91.888275
278.2559402207126, -15.299522, -91.941505
291.50530628251755, -14.908688, -91.988197
305.3855508833416, -14.442093, -91.995224
319.92671377973846, -13.975691, -92.098717
335.1602650938841, -13.539081, -92.17514
351.1191734215131, -13.11265, -92.194839
367.8379771828634, -12.672293, -92.331879
385.3528593710527, -12.236591, -92.430923
403.70172585965537, -11.751289, -92.425598
422.9242874389499, -11.287822, -92.628296
443.0621457583882, -10.822581, -92.675873
464.1588833612782, -10.341778, -92.803467
486.26015800653533, -9.865309, -92.887375
509.413801481638, -9.34959, -92.979485
533.6699231206312, -8.865285, -93.190521
559.0810182512223, -8.351445, -93.278435
585.7020818056667, -7.820556, -93.49308
613.5907273413176, -7.266157, -93.594978
642.807311728432, -6.712504, -93.79351
673.4150657750821, -6.141292, -94.099411
705.4802310718645, -5.528057, -94.305092
739.0722033525775, -4.925535, -94.589478
774.263682681127, -4.257026, -94.978523
811.1308307896873, -3.556102, -95.31823
849.7534359086446, -2.827611, -95.713287
890.2150854450392, -2.055665, -96.25605
932.60334688322, -1.222256, -96.920265
977.0099572992257, -0.292259, -97.769875
1023.5310218990269, 0.715269, -98.772705
1072.2672220103232, 1.846901, -100.061714
1123.3240329780276, 3.13974, -101.815063
1176.811952434999, 4.664396, -104.276413
1232.8467394420659, 6.525178, -108.19281
1291.549665014884, 8.954038, -115.186882
1353.0477745798075, 12.28455, -130.881622
1417.4741629268049, 14.926861, -170.687485
1484.9682622544651, 14.870369, 159.745361
1555.6761439304723, 13.756245, 142.71109
1629.7508346206434, 11.939753, 129.169144
1707.352647470692, 10.1155, 119.983932
1788.649529057435, 8.411134, 113.731903
1873.817422860385, 6.843247, 109.314789
1963.0406500402723, 5.421231, 106.120628
2056.5123083486515, 4.142992, 103.694511
2154.4346900318847, 2.987765, 101.865906
2257.0197196339213, 1.917812, 100.477776
2364.4894126454074, 0.952774, 99.394211
2477.0763559917114, 0.051231, 98.389442
2595.0242113997374, -0.791876, 97.653938
2718.58824273294, -1.567291, 97.082695
2848.035868435802, -2.312851, 96.499794
2983.64724028334, -3.003211, 96.005333
3125.7158496882353, -3.670173, 95.625557
3274.5491628777318, -4.303843, 95.286674
3430.4692863149194, -4.918975, 94.934906
3593.813663804626, -5.49143, 94.76049
3764.9358067924713, -6.065775, 94.449104
3944.206059437656, -6.591775, 94.293236
4132.012400115339, -7.144379, 94.065353
4328.7612810830615, -7.628192, 93.818672
4534.878508128582, -8.145076, 93.69664
4750.810162102798, -8.667897, 93.540886
4977.023564332114, -9.121317, 93.339142
5214.008287999684, -9.59244, 93.251366
5462.277217684343, -10.071649, 93.189476
5722.3676593502205, -10.523709, 92.974739
5994.8425031894085, -10.967594, 92.871841
6280.29144183426, -11.409204, 92.734261
6579.332246575683, -11.822519, 92.602654
6892.612104349695, -12.272253, 92.54818
7220.809018385471, -12.696629, 92.371864
7564.633275546291, -13.120558, 92.249153
7924.828983539178, -13.511761, 92.026512
8302.175681319752, -13.950662, 92.117004
8697.490026177835, -14.374344, 92.00119
9111.627561154895, -14.778266, 91.899879
9545.484566618346, -15.186639, 91.630707
10000, -15.58736, 91.323631
