Frequency [Hz], Amplitude [dB], Phase [deg]
100, -49.518223, 173.324234
104.76157527896652, -49.32251, 175.184799
109.74987654930557, -48.382267, 177.457489
114.97569953977356, -47.673904, 174.401108
120.45035402587824, -47.190624, 177.75531
126.1856883066021, -45.873943, 179.755829
132.19411484660287, -44.691757, -179.168884
138.48863713938732, -44.042587, 179.341721
145.082877849594, -43.022095, 179.892685
151.99110829529332, -42.034859, 178.290878
159.22827933410923, -41.118362, 177.369522
166.81005372000593, -40.017647, 177.65065
174.7528400007683, -38.998608, 177.520721
183.07382802953677, -37.961876, 177.59938
191.79102616724887, -37.302994, 176.360672
200.9233002565048, -36.303356, 177.057434
210.49041445120199, -35.607067, 176.388351
220.51307399030455, -34.685425, 176.973038
231.01297000831605, -33.875572, 177.109421
242.01282647943833, -33.044682, 177.19133
253.53644939701115, -32.239502, 178.023605
265.6087782946687, -31.492138, 176.853256
278.2559402207126, -30.712492, 177.283569
291.50530628251755, -29.871387, 176.900116
305.3855508833416, -29.064293, 177.471329
319.92671377973846, -28.148792, 177.248337
335.1602650938841, -27.249701, 177.077194
351.1191734215131, -26.41869, 176.755524
367.8379771828634, -25.51321, 176.792831
385.3528593710527, -24.677956, 176.865356
403.70172585965537, -23.672791, 176.561096
422.9242874389499, -22.649183, 176.495285
443.0621457583882, -21.706524, 176.53273
464.1588833612782, -20.808126, 176.284882
486.26015800653533, -19.951786, 176.307938
509.413801481638, -19.042538, 176.110535
533.6699231206312, -18.088438, 175.91832
559.0810182512223, -17.104578, 175.766693
585.7020818056667, -16.192471, 175.52269
613.5907273413176, -15.277137, 175.46492
642.807311728432, -14.265185, 175.225281
673.4150657750821, -13.270369, 174.979004
705.4802310718645, -12.261042, 174.729111
739.0722033525775, -11.179531, 174.432419
774.263682681127, -10.117764, 174.09787
811.1308307896873, -9.002954, 173.732956
849.7534359086446, -7.833804, 173.229721
890.2150854450392, -6.61378, 172.739059
932.60334688322, -5.361669, 172.054504
977.0099572992257, -4.017967, 171.272018
1023.5310218990269, -2.570663, 170.246857
1072.2672220103232, -0.989967, 168.936859
1123.3240329780276, 0.748505, 167.18251
1176.811952434999, 2.725146, 164.664948
1232.8467394420659, 5.056781, 160.753891
1291.549665014884, 7.966831, 153.864975
1353.0477745798075, 11.830547, 138.761993
1417.4741629268049, 15.202923, 98.990822
1484.9682622544651, 15.586473, 68.354034
1555.6761439304723, 14.907473, 51.503857
1629.7508346206434, 13.365475, 37.724754
1707.352647470692, 11.837768, 28.544029
1788.649529057435, 10.426392, 22.328476
1873.817422860385, 9.179714, 17.913725
1963.0406500402723, 8.099578, 14.768501
2056.5123083486515, 7.159784, 12.449589
2154.4346900318847, 6.348228, 10.689365
2257.0197196339213, 5.645296, 9.316304
2364.4894126454074, 5.036701, 8.226853
2477.0763559917114, 4.503517, 7.359577
2595.0242113997374, 4.038839, 6.616323
2718.58824273294, 3.622821, 6.027294
2848.035868435802, 3.261103, 5.519975
2983.64724028334, 2.943762, 5.087562
3125.7158496882353, 2.658257, 4.702053
3274.5491628777318, 2.399756, 4.390637
3430.4692863149194, 2.175118, 4.08948
3593.813663804626, 1.973853, 3.851257
3764.9358067924713, 1.792864, 3.627705
3944.206059437656, 1.627703, 3.436111
4132.012400115339, 1.484321, 3.260763
4328.7612810830615, 1.357167, 3.09326
4534.878508128582, 1.239125, 2.941899
4750.810162102798, 1.137428, 2.792035
4977.023564332114, 1.043345, 2.689811
5214.008287999684, 0.958184, 2.557745
5462.277217684343, 0.884506, 2.473321
5722.3676593502205, 0.818978, 2.388831
5994.8425031894085, 0.761657, 2.287225
6280.29144183426, 0.70581, 2.177256
6579.332246575683, 0.663519, 2.125094
6892.612104349695, 0.619559, 2.014592
7220.809018385471, 0.584794, 1.94213
7564.633275546291, 0.552939, 1.841498
7924.828983539178, 0.528297, 1.761567
8302.175681319752, 0.505653, 1.677443
8697.490026177835, 0.484, 1.583866
9111.627561154895, 0.4683, 1.51971
9545.484566618346, 0.452845, 1.408057
10000, 0.443048, 1.3004
