frequency,V(Bout) (Phase),V(Bout) (Verstärkung),V(LPF) (Phase),V(LPF) (Verstärkung),
10,172.794,-0.0867699,-3.61033,0.0168682,
10.2329,172.626,-0.0867701,-3.69488,0.017673,
10.4713,172.454,-0.0867702,-3.78143,0.0185154,
10.7152,172.278,-0.0867703,-3.87004,0.0193974,
10.9648,172.098,-0.0867705,-3.96075,0.0203208,
11.2202,171.913,-0.0867706,-4.05361,0.0212875,
11.4815,171.725,-0.0867708,-4.14868,0.0222995,
11.749,171.532,-0.086771,-4.24601,0.0233589,
12.0226,171.334,-0.0867712,-4.34565,0.024468,
12.3027,171.132,-0.0867714,-4.44767,0.025629,
12.5893,170.925,-0.0867717,-4.55213,0.0268444,
12.8825,170.713,-0.086772,-4.65907,0.0281167,
13.1826,170.496,-0.0867723,-4.76858,0.0294486,
13.4896,170.274,-0.0867726,-4.8807,0.0308427,
13.8038,170.047,-0.086773,-4.99551,0.0323021,
14.1254,169.815,-0.0867734,-5.11308,0.0338297,
14.4544,169.577,-0.0867738,-5.23347,0.0354287,
14.7911,169.333,-0.0867744,-5.35676,0.0371024,
15.1356,169.084,-0.0867749,-5.48302,0.0388542,
15.4882,168.829,-0.0867756,-5.61233,0.0406878,
15.8489,168.568,-0.0867763,-5.74477,0.0426069,
16.2181,168.301,-0.0867771,-5.88041,0.0446156,
16.5959,168.027,-0.086778,-6.01934,0.0467178,
16.9824,167.747,-0.086779,-6.16165,0.0489179,
17.378,167.461,-0.0867802,-6.30743,0.0512205,
17.7828,167.167,-0.0867815,-6.45676,0.0536301,
18.197,166.867,-0.0867829,-6.60975,0.0561518,
18.6209,166.56,-0.0867846,-6.76648,0.0587906,
19.0546,166.245,-0.0867865,-6.92707,0.061552,
19.4984,165.923,-0.0867886,-7.09161,0.0644414,
19.9526,165.593,-0.0867911,-7.26021,0.0674647,
20.4174,165.256,-0.0867938,-7.43298,0.0706281,
20.893,164.91,-0.0867969,-7.61004,0.0739378,
21.3796,164.557,-0.0868005,-7.79151,0.0774005,
21.8776,164.195,-0.0868046,-7.97751,0.0810231,
22.3872,163.824,-0.0868092,-8.16817,0.0848129,
22.9087,163.445,-0.0868145,-8.36362,0.0887772,
23.4423,163.056,-0.0868206,-8.56399,0.092924,
23.9883,162.658,-0.0868274,-8.76943,0.0972614,
24.5471,162.251,-0.0868353,-8.98009,0.101798,
25.1189,161.834,-0.0868443,-9.19611,0.106542,
25.704,161.407,-0.0868546,-9.41766,0.111504,
26.3027,160.97,-0.0868664,-9.64491,0.116692,
26.9153,160.522,-0.0868799,-9.87801,0.122117,
27.5423,160.064,-0.0868953,-10.1172,0.127789,
28.1838,159.594,-0.086913,-10.3625,0.133719,
28.8403,159.114,-0.0869332,-10.6143,0.139918,
29.5121,158.621,-0.0869564,-10.8727,0.146398,
30.1995,158.117,-0.0869829,-11.138,0.15317,
30.903,157.6,-0.0870134,-11.4102,0.160248,
31.6228,157.071,-0.0870482,-11.6898,0.167643,
32.3594,156.529,-0.0870882,-11.9769,0.17537,
33.1131,155.974,-0.0871341,-12.2717,0.183443,
33.8844,155.405,-0.0871867,-12.5745,0.191875,
34.6737,154.823,-0.087247,-12.8857,0.200681,
35.4813,154.226,-0.0873161,-13.2054,0.209877,
36.3078,153.614,-0.0873955,-13.534,0.219478,
37.1535,152.987,-0.0874865,-13.8717,0.229501,
38.0189,152.345,-0.0875909,-14.219,0.239962,
38.9045,151.686,-0.0877108,-14.5761,0.250878,
39.8107,151.011,-0.0878483,-14.9435,0.262266,
40.738,150.32,-0.0880061,-15.3214,0.274145,
41.6869,149.611,-0.0881872,-15.7103,0.286532,
42.658,148.884,-0.088395,-16.1106,0.299445,
43.6516,148.138,-0.0886335,-16.5227,0.312904,
44.6684,147.374,-0.0889073,-16.9472,0.326928,
45.7088,146.59,-0.0892215,-17.3844,0.341534,
46.7735,145.786,-0.0895822,-17.8349,0.356742,
47.863,144.961,-0.0899961,-18.2993,0.372571,
48.9779,144.115,-0.0904713,-18.778,0.389039,
50.1187,143.247,-0.0910167,-19.2718,0.406165,
51.2861,142.356,-0.0916428,-19.7813,0.423967,
52.4807,141.441,-0.0923614,-20.307,0.442461,
53.7032,140.502,-0.0931863,-20.8498,0.461663,
54.9541,139.539,-0.0941331,-21.4104,0.481589,
56.2341,138.549,-0.0952199,-21.9895,0.502252,
57.544,137.532,-0.0964673,-22.5881,0.523663,
58.8844,136.487,-0.0978989,-23.207,0.545832,
60.256,135.414,-0.0995421,-23.8471,0.568764,
61.6595,134.311,-0.101428,-24.5095,0.592464,
63.0957,133.177,-0.103592,-25.1951,0.616931,
64.5654,132.011,-0.106075,-25.9052,0.64216,
66.0693,130.812,-0.108925,-26.6409,0.66814,
67.6083,129.579,-0.112194,-27.4035,0.694856,
69.1831,128.309,-0.115945,-28.1942,0.722282,
70.7946,127.003,-0.120248,-29.0145,0.750389,
72.4436,125.658,-0.125183,-29.8659,0.779133,
74.131,124.272,-0.130842,-30.75,0.808462,
75.8578,122.845,-0.13733,-31.6683,0.838312,
77.6247,121.375,-0.144768,-32.6226,0.868601,
79.4328,119.859,-0.153293,-33.6148,0.899234,
81.2831,118.296,-0.16306,-34.6467,0.930094,
83.1764,116.685,-0.174247,-35.7204,0.961046,
85.1138,115.022,-0.187057,-36.8379,0.991927,
87.0964,113.306,-0.201718,-38.0014,1.02255,
89.1251,111.535,-0.218492,-39.2132,1.05269,
91.2011,109.707,-0.237671,-40.4755,1.08211,
93.3254,107.82,-0.259588,-41.7908,1.11049,
