frequency,V(BPF) (Phase),V(BPF) (Verstärkung),V(BSF) (Phase),V(BSF) (Verstärkung),V(HPF) (Phase),V(HPF) (Verstärkung),V(LPF) (Phase),V(LPF) (Verstärkung),
10,-93.6164,-24.0189,176.39,-0.0174956,176.377,-48.0548,-3.61033,0.0168682,
10.2329,-93.7008,-23.8181,176.305,-0.0183137,176.293,-47.6539,-3.69488,0.017673,
10.4713,-93.7872,-23.6173,176.219,-0.0191709,176.207,-47.2531,-3.78143,0.0185154,
10.7152,-93.8757,-23.4164,176.13,-0.0200691,176.119,-46.8522,-3.87004,0.0193974,
10.9648,-93.9663,-23.2155,176.039,-0.0210101,176.028,-46.4513,-3.96075,0.0203208,
11.2202,-94.059,-23.0145,175.946,-0.0219962,175.936,-46.0503,-4.05361,0.0212875,
11.4815,-94.1539,-22.8135,175.851,-0.0230294,175.841,-45.6493,-4.14868,0.0222995,
11.749,-94.2511,-22.6125,175.754,-0.0241121,175.744,-45.2483,-4.24601,0.0233589,
12.0226,-94.3506,-22.4113,175.654,-0.0252467,175.644,-44.8472,-4.34565,0.024468,
12.3027,-94.4525,-22.2102,175.552,-0.0264357,175.543,-44.446,-4.44767,0.025629,
12.5893,-94.5569,-22.009,175.448,-0.0276817,175.438,-44.0448,-4.55213,0.0268444,
12.8825,-94.6637,-21.8077,175.341,-0.0289876,175.332,-43.6435,-4.65907,0.0281167,
13.1826,-94.7731,-21.6064,175.231,-0.0303563,175.222,-43.2422,-4.76858,0.0294486,
13.4896,-94.8851,-21.405,175.119,-0.0317908,175.111,-42.8408,-4.8807,0.0308427,
13.8038,-94.9998,-21.2035,175.005,-0.0332945,174.996,-42.4393,-4.99551,0.0323021,
14.1254,-95.1172,-21.002,174.887,-0.0348706,174.879,-42.0378,-5.11308,0.0338297,
14.4544,-95.2375,-20.8004,174.767,-0.0365228,174.758,-41.6362,-5.23347,0.0354287,
14.7911,-95.3607,-20.5987,174.643,-0.0382549,174.635,-41.2345,-5.35676,0.0371024,
15.1356,-95.4869,-20.397,174.517,-0.0400707,174.509,-40.8328,-5.48302,0.0388542,
15.4882,-95.6161,-20.1951,174.388,-0.0419745,174.38,-40.4309,-5.61233,0.0406878,
15.8489,-95.7484,-19.9932,174.255,-0.0439706,174.248,-40.029,-5.74477,0.0426069,
16.2181,-95.8839,-19.7912,174.12,-0.0460636,174.113,-39.627,-5.88041,0.0446156,
16.5959,-96.0228,-19.5891,173.981,-0.0482584,173.974,-39.2249,-6.01934,0.0467178,
16.9824,-96.165,-19.3869,173.838,-0.0505601,173.832,-38.8227,-6.16165,0.0489179,
17.378,-96.3107,-19.1846,173.693,-0.052974,173.686,-38.4204,-6.30743,0.0512205,
17.7828,-96.4599,-18.9822,173.543,-0.0555058,173.537,-38.018,-6.45676,0.0536301,
18.197,-96.6128,-18.7797,173.39,-0.0581616,173.384,-37.6155,-6.60975,0.0561518,
18.6209,-96.7694,-18.577,173.234,-0.0609475,173.228,-37.2128,-6.76648,0.0587906,
19.0546,-96.9299,-18.3743,173.073,-0.0638701,173.067,-36.8101,-6.92707,0.061552,
19.4984,-97.0944,-18.1714,172.908,-0.0669366,172.903,-36.4072,-7.09161,0.0644414,
19.9526,-97.2629,-17.9683,172.74,-0.0701542,172.734,-36.0042,-7.26021,0.0674647,
20.4174,-97.4356,-17.7652,172.567,-0.0735308,172.562,-35.601,-7.43298,0.0706281,
20.893,-97.6126,-17.5619,172.39,-0.0770744,172.385,-35.1977,-7.61004,0.0739378,
21.3796,-97.794,-17.3584,172.209,-0.0807939,172.204,-34.7942,-7.79151,0.0774005,
21.8776,-97.9799,-17.1548,172.023,-0.0846983,172.018,-34.3906,-7.97751,0.0810231,
22.3872,-98.1705,-16.951,171.832,-0.0887974,171.827,-33.9868,-8.16817,0.0848129,
22.9087,-98.3658,-16.747,171.636,-0.0931013,171.632,-33.5828,-8.36362,0.0887772,
23.4423,-98.5661,-16.5429,171.436,-0.0976209,171.432,-33.1787,-8.56399,0.092924,
23.9883,-98.7715,-16.3385,171.231,-0.102368,171.226,-32.7744,-8.76943,0.0972614,
24.5471,-98.9821,-16.134,171.02,-0.107353,171.016,-32.3698,-8.98009,0.101798,
25.1189,-99.198,-15.9293,170.804,-0.112591,170.8,-31.9651,-9.19611,0.106542,
25.704,-99.4195,-15.7243,170.582,-0.118095,170.579,-31.5601,-9.41766,0.111504,
26.3027,-99.6467,-15.5191,170.355,-0.123878,170.352,-31.1549,-9.64491,0.116692,
26.9153,-99.8797,-15.3137,170.122,-0.129957,170.119,-30.7495,-9.87801,0.122117,
27.5423,-100.119,-15.108,169.883,-0.136347,169.88,-30.3438,-10.1172,0.127789,
28.1838,-100.364,-14.9021,169.638,-0.143066,169.634,-29.9379,-10.3625,0.133719,
28.8403,-100.616,-14.6959,169.386,-0.150132,169.383,-29.5317,-10.6143,0.139918,
29.5121,-100.874,-14.4894,169.127,-0.157564,169.124,-29.1252,-10.8727,0.146398,
